State,County,Number of Mines
Alabama,Autauga,2
Alabama,Baldwin,1
Alabama,Barbour,5
Alabama,Bibb,2
Alabama,Blount,4
Alabama,Calhoun,3
Alabama,Cherokee,1
Alabama,Chilton,3
Alabama,Clarke,6
Alabama,Cleburne,1
Alabama,Coffee,1
Alabama,Colbert,4
Alabama,Conecuh,5
Alabama,Coosa,2
Alabama,Covington,1
Alabama,Crenshaw,1
Alabama,Cullman,3
Alabama,Dale,2
Alabama,Dallas,6
Alabama,De Kalb,1
Alabama,Elmore,4
Alabama,Escambia,9
Alabama,Etowah,3
Alabama,Fayette,4
Alabama,Franklin,7
Alabama,Geneva,1
Alabama,Greene,2
Alabama,Hale,1
Alabama,Henry,1
Alabama,Houston,1
Alabama,Jackson,5
Alabama,Jefferson,31
Alabama,Lawrence,1
Alabama,Lee,1
Alabama,Lowndes,2
Alabama,Macon,5
Alabama,Madison,6
Alabama,Marengo,1
Alabama,Marion,11
Alabama,Marshall,4
Alabama,Mobile,14
Alabama,Monroe,3
Alabama,Montgomery,15
Alabama,Morgan,4
Alabama,Pickens,2
Alabama,Russell,5
Alabama,Shelby,15
Alabama,St Clair,5
Alabama,Sumter,2
Alabama,Talladega,7
Alabama,Tuscaloosa,25
Alabama,Walker,46
Alabama,Washington,2
Alabama,Winston,4
Alaska,2001,2
Alaska,2002,2
Alaska,2005,19
Alaska,2006,6
Alaska,2007,1
Alaska,2009,2
Alaska,2011,3
Alaska,2012,5
Alaska,2014,18
Alaska,Aleutians East,12
Arizona,Apache,5
Arizona,Cochise,19
Arizona,Coconino,21
Arizona,Gila,12
Arizona,Graham,4
Arizona,Greenlee,1
Arizona,La Paz,7
Arizona,Maricopa,68
Arizona,Mohave,29
Arizona,Navajo,20
Arizona,Pima,33
Arizona,Pinal,30
Arizona,Santa Cruz,4
Arizona,Yavapai,23
Arizona,Yuma,10
Arkansas,Ashley,1
Arkansas,Baxter,5
Arkansas,Benton,6
Arkansas,Boone,4
Arkansas,Bradley,2
Arkansas,Calhoun,4
Arkansas,Carroll,2
Arkansas,Clark,3
Arkansas,Cleburne,1
Arkansas,Conway,2
Arkansas,Craighead,4
Arkansas,Crawford,3
Arkansas,Crittenden,1
Arkansas,Cross,1
Arkansas,Desha,1
Arkansas,Faulkner,2
Arkansas,Franklin,2
Arkansas,Fulton,1
Arkansas,Garland,14
Arkansas,Grant,3
Arkansas,Greene,4
Arkansas,Hempstead,1
Arkansas,Hot Spring,7
Arkansas,Howard,4
Arkansas,Independence,8
Arkansas,Izard,4
Arkansas,Jackson,2
Arkansas,Jefferson,1
Arkansas,Johnson,5
Arkansas,Lawrence,2
Arkansas,Lincoln,1
Arkansas,Little River,2
Arkansas,Logan,4
Arkansas,Marion,2
Arkansas,Miller,1
Arkansas,Montgomery,7
Arkansas,Nevada,2
Arkansas,Ouachita,4
Arkansas,Perry,1
Arkansas,Pike,4
Arkansas,Poinsett,2
Arkansas,Polk,1
Arkansas,Pope,4
Arkansas,Pulaski,15
Arkansas,Saline,10
Arkansas,Scott,1
Arkansas,Sebastian,10
Arkansas,Sevier,3
Arkansas,St Francis,1
Arkansas,Stone,2
Arkansas,Union,1
Arkansas,Van Buren,2
Arkansas,Washington,2
Arkansas,White,2
Arkansas,Yell,1
California,Alameda,9
California,Amador,13
California,Butte,7
California,Calaveras,10
California,Colusa,1
California,Contra Costa,6
California,Del Norte,2
California,El Dorado,5
California,Fresno,9
California,Glenn,4
California,Humboldt,13
California,Imperial,19
California,Inyo,21
California,Kern,29
California,Lake,11
California,Lassen,3
California,Los Angeles,34
California,Madera,3
California,Marin,1
California,Mariposa,4
California,Mendocino,12
California,Merced,6
California,Modoc,2
California,Mono,4
California,Monterey,9
California,Napa,1
California,Nevada,6
California,Orange,9
California,Placer,7
California,Plumas,3
California,Riverside,49
California,Sacramento,11
California,San Benito,10
California,San Bernardino,62
California,San Diego,45
California,San Joaquin,12
California,San Luis Obispo,12
California,San Mateo,3
California,Santa Barbara,12
California,Santa Clara,7
California,Santa Cruz,8
California,Shasta,16
California,Sierra,8
California,Siskiyou,8
California,Solano,2
California,Sonoma,19
California,Stanislaus,6
California,Sutter,2
California,Tehama,6
California,Trinity,2
California,Tulare,8
California,Tuolumne,10
California,Ventura,15
California,Yolo,5
California,Yuba,11
Colorado,Adams,17
Colorado,Alamosa,7
Colorado,Arapahoe,6
Colorado,Archuleta,2
Colorado,Baca,2
Colorado,Bent,1
Colorado,Boulder,20
Colorado,Chaffee,8
Colorado,Cheyenne,1
Colorado,Clear Creek,4
Colorado,Costilla,3
Colorado,Delta,8
Colorado,Denver,3
Colorado,Dolores,1
Colorado,Douglas,3
Colorado,Eagle,4
Colorado,El Paso,11
Colorado,Fremont,20
Colorado,Garfield,13
Colorado,Gilpin,2
Colorado,Grand,5
Colorado,Gunnison,10
Colorado,Hinsdale,1
Colorado,Huerfano,3
Colorado,Jackson,5
Colorado,Jefferson,15
Colorado,Kit Carson,6
Colorado,La Plata,10
Colorado,Lake,8
Colorado,Larimer,37
Colorado,Las Animas,5
Colorado,Lincoln,2
Colorado,Logan,5
Colorado,Mesa,13
Colorado,Mineral,1
Colorado,Moffat,7
Colorado,Montezuma,8
Colorado,Montrose,10
Colorado,Morgan,5
