State,County,Number of Mines
Alabama,Autauga,2
Alabama,Baldwin,2
Alabama,Barbour,5
Alabama,Bibb,1
Alabama,Blount,4
Alabama,Calhoun,4
Alabama,Cherokee,1
Alabama,Chilton,3
Alabama,Clarke,6
Alabama,Cleburne,2
Alabama,Coffee,1
Alabama,Colbert,4
Alabama,Conecuh,5
Alabama,Coosa,2
Alabama,Crenshaw,1
Alabama,Cullman,2
Alabama,Dale,2
Alabama,Dallas,7
Alabama,De Kalb,1
Alabama,Elmore,4
Alabama,Escambia,10
Alabama,Etowah,2
Alabama,Fayette,6
Alabama,Franklin,7
Alabama,Geneva,1
Alabama,Greene,2
Alabama,Hale,1
Alabama,Henry,1
Alabama,Houston,1
Alabama,Jackson,4
Alabama,Jefferson,28
Alabama,Lawrence,1
Alabama,Lee,1
Alabama,Lowndes,2
Alabama,Macon,5
Alabama,Madison,7
Alabama,Marengo,1
Alabama,Marion,12
Alabama,Marshall,4
Alabama,Mobile,11
Alabama,Monroe,4
Alabama,Montgomery,13
Alabama,Morgan,4
Alabama,Pickens,2
Alabama,Russell,5
Alabama,Shelby,14
Alabama,St Clair,5
Alabama,Sumter,2
Alabama,Talladega,5
Alabama,Tuscaloosa,27
Alabama,Walker,43
Alabama,Washington,2
Alabama,Winston,6
Alaska,2002,2
Alaska,2005,19
Alaska,2006,8
Alaska,2007,1
Alaska,2009,2
Alaska,2011,3
Alaska,2012,6
Alaska,2014,18
Alaska,Aleutians East,14
Arizona,Apache,7
Arizona,Cochise,18
Arizona,Coconino,23
Arizona,Gila,15
Arizona,Graham,5
Arizona,Greenlee,1
Arizona,La Paz,9
Arizona,Maricopa,76
Arizona,Mohave,36
Arizona,Navajo,17
Arizona,Pima,30
Arizona,Pinal,32
Arizona,Santa Cruz,4
Arizona,Yavapai,26
Arizona,Yuma,11
Arkansas,Ashley,1
Arkansas,Baxter,5
Arkansas,Benton,6
Arkansas,Boone,5
Arkansas,Bradley,2
Arkansas,Calhoun,4
Arkansas,Carroll,1
Arkansas,Clark,2
Arkansas,Clay,1
Arkansas,Cleburne,1
Arkansas,Conway,2
Arkansas,Craighead,5
Arkansas,Crawford,2
Arkansas,Crittenden,1
Arkansas,Cross,1
Arkansas,Desha,1
Arkansas,Faulkner,2
Arkansas,Franklin,3
Arkansas,Fulton,1
Arkansas,Garland,15
Arkansas,Grant,3
Arkansas,Greene,3
Arkansas,Hempstead,1
Arkansas,Hot Spring,7
Arkansas,Howard,4
Arkansas,Independence,7
Arkansas,Izard,3
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,5
Arkansas,Lawrence,2
Arkansas,Lincoln,1
Arkansas,Little River,2
Arkansas,Logan,3
Arkansas,Marion,3
Arkansas,Miller,1
Arkansas,Montgomery,8
Arkansas,Nevada,2
Arkansas,Ouachita,4
Arkansas,Perry,2
Arkansas,Pike,4
Arkansas,Poinsett,2
Arkansas,Polk,1
Arkansas,Pope,5
Arkansas,Pulaski,16
Arkansas,Saline,9
Arkansas,Scott,1
Arkansas,Sebastian,10
Arkansas,Sevier,3
Arkansas,Sharp,1
Arkansas,St Francis,2
Arkansas,Stone,2
Arkansas,Union,1
Arkansas,Van Buren,2
Arkansas,Washington,2
Arkansas,White,2
Arkansas,Yell,1
California,Alameda,9
California,Alpine,2
California,Amador,14
California,Butte,7
California,Calaveras,8
California,Colusa,1
California,Contra Costa,8
California,Del Norte,1
California,El Dorado,6
California,Fresno,9
California,Glenn,4
California,Humboldt,14
California,Imperial,21
California,Inyo,28
California,Kern,30
California,Lake,10
California,Lassen,4
California,Los Angeles,35
California,Madera,3
California,Marin,1
California,Mariposa,3
California,Mendocino,17
California,Merced,5
California,Modoc,2
California,Mono,4
California,Monterey,8
California,Napa,1
California,Nevada,8
California,Orange,14
California,Placer,9
California,Plumas,3
California,Riverside,55
California,Sacramento,10
California,San Benito,9
California,San Bernardino,61
California,San Diego,52
California,San Joaquin,12
California,San Luis Obispo,14
California,San Mateo,3
California,Santa Barbara,12
California,Santa Clara,8
California,Santa Cruz,9
California,Shasta,16
California,Sierra,8
California,Siskiyou,6
California,Solano,1
California,Sonoma,20
California,Stanislaus,7
California,Sutter,2
California,Tehama,7
California,Trinity,2
California,Tulare,3
California,Tuolumne,8
California,Ventura,16
California,Yolo,8
California,Yuba,9
Colorado,Adams,17
Colorado,Alamosa,9
Colorado,Arapahoe,5
Colorado,Archuleta,2
Colorado,Baca,1
Colorado,Bent,1
Colorado,Boulder,23
Colorado,Chaffee,3
Colorado,Cheyenne,1
Colorado,Clear Creek,6
Colorado,Conejos,1
Colorado,Costilla,3
Colorado,Delta,5
Colorado,Denver,4
Colorado,Dolores,1
Colorado,Douglas,9
Colorado,Eagle,5
Colorado,El Paso,13
Colorado,Elbert,3
Colorado,Fremont,18
Colorado,Garfield,14
Colorado,Gilpin,4
Colorado,Grand,5
Colorado,Gunnison,10
Colorado,Huerfano,3
Colorado,Jackson,4
Colorado,Jefferson,19
Colorado,Kit Carson,6
Colorado,La Plata,10
Colorado,Lake,8
Colorado,Larimer,38
Colorado,Las Animas,7
Colorado,Lincoln,1
Colorado,Logan,5
Colorado,Mesa,13
Colorado,Mineral,1
Colorado,Moffat,7
Colorado,Montezuma,10
Colorado,Montrose,9
Colorado,Morgan,5
Colorado,Otero,2
Colorado,Ouray,5
Colorado,Park,7
Colorado,Phillips,1
Colorado,Pitkin,2
Colorado,Prowers,4
Colorado,Pueblo,15
Colorado,Rio Blanco,8
Colorado,Rio Grande,4
Colorado,Routt,7
Colorado,Saguache,3
Colorado,San Juan,2
Colorado,San Miguel,5
Colorado,Sedgwick,1
Colorado,Summit,6
Colorado,Teller,7
Colorado,Weld,21
Connecticut,Fairfield,9
Connecticut,Hartford,17
Connecticut,Litchfield,15
Connecticut,Middlesex,7
Connecticut,New Haven,20
Connecticut,New London,13
Connecticut,Tolland,9
Connecticut,Windham,14
Delaware,Kent,4
Delaware,New Castle,1
Delaware,Sussex,3
Florida,Alachua,3
Florida,Bay,2
Florida,Brevard,3
Florida,Broward,15
Florida,Calhoun,1
Florida,Charlotte,7
Florida,Citrus,8
Florida,Clay,3
Florida,Collier,6
Florida,Columbia,2
Florida,Dade,27
Florida,De Soto,4
Florida,Dixie,1
Florida,Escambia,5
Florida,Gadsden,6
Florida,Glades,3
Florida,Hamilton,2
Florida,Hardee,1
Florida,Hendry,1
Florida,Hernando,7
