State,County,Number of Mines
Alabama,Autauga,1
Alabama,Barbour,4
Alabama,Bibb,2
Alabama,Blount,5
Alabama,Calhoun,5
Alabama,Cherokee,1
Alabama,Chilton,3
Alabama,Clarke,6
Alabama,Cleburne,1
Alabama,Colbert,4
Alabama,Conecuh,4
Alabama,Coosa,2
Alabama,Cullman,2
Alabama,Dale,2
Alabama,Dallas,9
Alabama,De Kalb,1
Alabama,Elmore,5
Alabama,Escambia,9
Alabama,Etowah,2
Alabama,Fayette,6
Alabama,Franklin,6
Alabama,Geneva,1
Alabama,Greene,1
Alabama,Hale,1
Alabama,Henry,1
Alabama,Houston,1
Alabama,Jackson,4
Alabama,Jefferson,31
Alabama,Lawrence,1
Alabama,Lee,1
Alabama,Lowndes,3
Alabama,Macon,5
Alabama,Madison,9
Alabama,Marengo,1
Alabama,Marion,12
Alabama,Marshall,4
Alabama,Mobile,9
Alabama,Monroe,5
Alabama,Montgomery,13
Alabama,Morgan,4
Alabama,Pickens,2
Alabama,Russell,5
Alabama,Shelby,14
Alabama,St Clair,5
Alabama,Sumter,2
Alabama,Talladega,6
Alabama,Tuscaloosa,23
Alabama,Walker,40
Alabama,Washington,2
Alabama,Winston,8
Alaska,2001,2
Alaska,2002,3
Alaska,2005,22
Alaska,2006,7
Alaska,2007,1
Alaska,2009,1
Alaska,2011,3
Alaska,2012,10
Alaska,2014,38
Alaska,Aleutians East,15
Arizona,Apache,6
Arizona,Cochise,19
Arizona,Coconino,25
Arizona,Gila,12
Arizona,Graham,4
Arizona,Greenlee,3
Arizona,La Paz,8
Arizona,Maricopa,74
Arizona,Mohave,34
Arizona,Navajo,18
Arizona,Pima,33
Arizona,Pinal,39
Arizona,Santa Cruz,8
Arizona,Yavapai,34
Arizona,Yuma,11
Arkansas,Ashley,1
Arkansas,Baxter,5
Arkansas,Benton,6
Arkansas,Boone,3
Arkansas,Bradley,2
Arkansas,Calhoun,5
Arkansas,Carroll,2
Arkansas,Clark,2
Arkansas,Clay,1
Arkansas,Cleburne,1
Arkansas,Conway,1
Arkansas,Craighead,4
Arkansas,Crawford,2
Arkansas,Crittenden,1
Arkansas,Cross,1
Arkansas,Desha,1
Arkansas,Faulkner,2
Arkansas,Franklin,3
Arkansas,Fulton,1
Arkansas,Garland,16
Arkansas,Grant,3
Arkansas,Greene,4
Arkansas,Hempstead,1
Arkansas,Hot Spring,8
Arkansas,Howard,2
Arkansas,Independence,7
Arkansas,Izard,3
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,5
Arkansas,Lawrence,2
Arkansas,Lincoln,1
Arkansas,Little River,2
Arkansas,Logan,3
Arkansas,Marion,3
Arkansas,Miller,1
Arkansas,Montgomery,23
Arkansas,Nevada,1
Arkansas,Ouachita,4
Arkansas,Perry,3
Arkansas,Pike,5
Arkansas,Poinsett,2
Arkansas,Polk,1
Arkansas,Pope,5
Arkansas,Pulaski,14
Arkansas,Saline,10
Arkansas,Sebastian,12
Arkansas,Sevier,3
Arkansas,Sharp,1
Arkansas,St Francis,2
Arkansas,Stone,2
Arkansas,Union,1
Arkansas,Van Buren,2
Arkansas,Washington,2
Arkansas,White,2
Arkansas,Yell,1
California,Alameda,9
California,Amador,14
California,Butte,8
California,Calaveras,8
California,Colusa,1
California,Contra Costa,9
California,Del Norte,2
California,El Dorado,7
California,Fresno,9
California,Glenn,3
California,Humboldt,12
California,Imperial,15
California,Inyo,29
California,Kern,37
California,Lake,10
California,Lassen,2
California,Los Angeles,37
California,Madera,2
California,Marin,1
California,Mariposa,4
California,Mendocino,17
California,Merced,6
California,Modoc,3
California,Mono,4
California,Monterey,9
California,Napa,1
California,Nevada,9
California,Orange,11
California,Placer,8
California,Plumas,6
California,Riverside,55
California,Sacramento,11
California,San Benito,14
California,San Bernardino,61
California,San Diego,51
California,San Joaquin,12
California,San Luis Obispo,16
California,San Mateo,3
California,Santa Barbara,12
California,Santa Clara,8
California,Santa Cruz,9
California,Shasta,15
California,Sierra,6
California,Siskiyou,7
California,Solano,1
California,Sonoma,21
California,Stanislaus,5
California,Sutter,2
California,Tehama,6
California,Trinity,2
California,Tulare,2
California,Tuolumne,9
California,Ventura,17
California,Yolo,7
California,Yuba,9
Colorado,Adams,19
Colorado,Alamosa,7
Colorado,Arapahoe,5
Colorado,Archuleta,1
Colorado,Baca,1
Colorado,Bent,1
Colorado,Boulder,20
Colorado,Chaffee,5
Colorado,Clear Creek,7
Colorado,Conejos,2
Colorado,Costilla,4
Colorado,Custer,1
Colorado,Delta,5
Colorado,Denver,3
Colorado,Dolores,1
Colorado,Douglas,10
Colorado,Eagle,4
Colorado,El Paso,14
Colorado,Elbert,3
Colorado,Fremont,23
Colorado,Garfield,12
Colorado,Gilpin,4
Colorado,Grand,6
Colorado,Gunnison,11
Colorado,Huerfano,3
Colorado,Jackson,4
Colorado,Jefferson,22
Colorado,Kit Carson,5
Colorado,La Plata,8
Colorado,Lake,9
Colorado,Larimer,40
Colorado,Las Animas,7
Colorado,Lincoln,1
Colorado,Logan,5
Colorado,Mesa,13
Colorado,Mineral,3
Colorado,Moffat,6
Colorado,Montezuma,9
Colorado,Montrose,19
Colorado,Morgan,5
Colorado,Otero,3
Colorado,Ouray,5
Colorado,Park,5
Colorado,Phillips,1
Colorado,Pitkin,2
Colorado,Prowers,5
Colorado,Pueblo,13
Colorado,Rio Blanco,5
Colorado,Rio Grande,3
Colorado,Routt,8
Colorado,Saguache,2
Colorado,San Juan,4
Colorado,San Miguel,9
Colorado,Sedgwick,1
Colorado,Summit,5
Colorado,Teller,7
Colorado,Weld,20
Connecticut,Fairfield,9
Connecticut,Hartford,19
Connecticut,Litchfield,16
Connecticut,Middlesex,8
Connecticut,New Haven,20
Connecticut,New London,11
Connecticut,Tolland,10
Connecticut,Windham,15
Delaware,Kent,4
Delaware,New Castle,2
Delaware,Sussex,2
Florida,Alachua,4
Florida,Bay,3
Florida,Brevard,3
Florida,Broward,16
Florida,Calhoun,1
Florida,Charlotte,4
Florida,Citrus,7
Florida,Clay,4
Florida,Collier,7
Florida,Columbia,2
Florida,Dade,26
Florida,De Soto,4
Florida,Duval,1
Florida,Escambia,5
Florida,Gadsden,6
Florida,Glades,3
Florida,Hamilton,2
Florida,Hardee,1
Florida,Hendry,1
Florida,Hernando,7
Florida,Hillsborough,9
Florida,Indian River,6
Florida,Jackson,4
Florida,Lake,9
Florida,Lee,4
Florida,Leon,2
Florida,Levy,3
Florida,Manatee,3
Florida,Marion,14
Florida,Monroe,4
Florida,Okaloosa,2
Florida,Orange,4
Florida,Palm Beach,7
Florida,Pasco,3
Florida,Polk,27
Florida,Putnam,4
Florida,Santa Rosa,2
Florida,Sarasota,6
Florida,St Lucie,6
Florida,Sumter,6
Florida,Suwannee,5
Florida,Taylor,3
Florida,Walton,2
Florida,Washington,1
Georgia,Baldwin,1
Georgia,Banks,1
Georgia,Barrow,1
Georgia,Bartow,5
Georgia,Berrien,1
Georgia,Bibb,5
Georgia,Brantley,2
Georgia,Carroll,2
Georgia,Catoosa,1
Georgia,Cherokee,2
Georgia,Clarke,1
Georgia,Clayton,1
Georgia,Cobb,2
Georgia,Columbia,1
Georgia,Cook,1
Georgia,Coweta,1
Georgia,Crawford,1
Georgia,De Kalb,8
Georgia,Decatur,4
Georgia,Dougherty,1
Georgia,Douglas,4
Georgia,Echols,1
Georgia,Effingham,4
Georgia,Elbert,15
Georgia,Evans,1
Georgia,Fannin,1
Georgia,Fayette,2
Georgia,Floyd,4
Georgia,Forsyth,3
Georgia,Franklin,1
Georgia,Fulton,10
Georgia,Gilmer,5
Georgia,Glascock,1
Georgia,Gordon,1
Georgia,Greene,3
Georgia,Gwinnett,3
Georgia,Habersham,1
