State,County,Number of Mines
Alabama,Autauga,3
Alabama,Baldwin,7
Alabama,Barbour,2
Alabama,Bibb,6
Alabama,Blount,6
Alabama,Calhoun,2
Alabama,Cherokee,2
Alabama,Chilton,2
Alabama,Clarke,5
Alabama,Colbert,5
Alabama,Coosa,1
Alabama,Covington,1
Alabama,Cullman,3
Alabama,Dale,1
Alabama,Dallas,4
Alabama,De Kalb,2
Alabama,Elmore,4
Alabama,Escambia,8
Alabama,Etowah,3
Alabama,Fayette,4
Alabama,Franklin,6
Alabama,Geneva,1
Alabama,Hale,2
Alabama,Henry,1
Alabama,Jackson,7
Alabama,Jefferson,27
Alabama,Lawrence,1
Alabama,Lee,3
Alabama,Limestone,1
Alabama,Lowndes,3
Alabama,Macon,4
Alabama,Madison,2
Alabama,Marengo,1
Alabama,Marion,6
Alabama,Marshall,2
Alabama,Mobile,7
Alabama,Monroe,7
Alabama,Montgomery,8
Alabama,Morgan,5
Alabama,Pickens,2
Alabama,Randolph,2
Alabama,Russell,5
Alabama,Shelby,22
Alabama,St Clair,6
Alabama,Sumter,1
Alabama,Talladega,7
Alabama,Tuscaloosa,19
Alabama,Walker,17
Alabama,Washington,1
Alabama,Winston,4
Alaska,Aleutians West,1
Alaska,Anchorage,20
Alaska,Bethel,2
Alaska,Denali,2
Alaska,Dillingham,3
Alaska,Fairbanks North Star,36
Alaska,Juneau,12
Alaska,Kenai Peninsula,8
Alaska,Ketchikan Gateway,2
Alaska,Kodiak Island,5
Alaska,Matanuska-Susitna,21
Alaska,Nome,8
Alaska,Northwest Arctic,2
Alaska,Sitka,2
Alaska,Skagway-Hoonah-Angoon,4
Alaska,Southeast Fairbanks,4
Alaska,Valdez-Cordova,4
Alaska,Yukon-Koyukuk,8
Arizona,Apache,8
Arizona,Cochise,31
Arizona,Coconino,42
Arizona,Gila,16
Arizona,Graham,5
Arizona,Greenlee,7
Arizona,La Paz,7
Arizona,Maricopa,101
Arizona,Mohave,54
Arizona,Navajo,19
Arizona,Pima,32
Arizona,Pinal,54
Arizona,Santa Cruz,9
Arizona,Yavapai,43
Arizona,Yuma,11
Arkansas,Arkansas,2
Arkansas,Baxter,6
Arkansas,Benton,6
Arkansas,Boone,3
Arkansas,Bradley,1
Arkansas,Calhoun,2
Arkansas,Carroll,2
Arkansas,Chicot,1
Arkansas,Cleburne,3
Arkansas,Conway,5
Arkansas,Craighead,3
Arkansas,Crawford,2
Arkansas,Crittenden,1
Arkansas,Cross,2
Arkansas,Faulkner,2
Arkansas,Franklin,6
Arkansas,Fulton,1
Arkansas,Garland,13
Arkansas,Grant,6
Arkansas,Greene,2
Arkansas,Hot Spring,6
Arkansas,Howard,2
Arkansas,Independence,11
Arkansas,Izard,3
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,3
Arkansas,Lawrence,4
Arkansas,Lincoln,1
Arkansas,Little River,2
Arkansas,Logan,3
Arkansas,Lonoke,1
Arkansas,Marion,1
Arkansas,Montgomery,19
Arkansas,Ouachita,2
Arkansas,Perry,1
Arkansas,Pike,4
Arkansas,Poinsett,2
Arkansas,Polk,3
Arkansas,Pope,3
Arkansas,Pulaski,11
Arkansas,Randolph,1
Arkansas,Saline,8
Arkansas,Searcy,1
Arkansas,Sebastian,8
Arkansas,Sevier,2
Arkansas,Sharp,2
Arkansas,Stone,5
Arkansas,Van Buren,3
Arkansas,Washington,8
Arkansas,White,7
California,Alameda,7
California,Alpine,1
California,Amador,11
California,Butte,8
California,Calaveras,7
California,Colusa,2
California,Contra Costa,7
California,Del Norte,2
California,El Dorado,5
California,Fresno,8
California,Glenn,5
California,Humboldt,22
California,Imperial,12
California,Inyo,16
California,Kern,32
California,Kings,1
California,Lake,9
California,Lassen,10
California,Los Angeles,25
California,Madera,2
California,Marin,2
California,Mariposa,5
California,Mendocino,11
California,Merced,9
California,Modoc,8
California,Mono,4
California,Monterey,11
California,Napa,3
California,Nevada,5
California,Orange,4
California,Placer,9
California,Plumas,6
California,Riverside,65
California,Sacramento,9
California,San Benito,9
California,San Bernardino,71
California,San Diego,29
California,San Francisco,2
California,San Joaquin,10
California,San Luis Obispo,9
California,San Mateo,4
California,Santa Barbara,13
California,Santa Clara,7
California,Santa Cruz,6
California,Shasta,19
California,Sierra,1
California,Siskiyou,11
California,Solano,2
California,Sonoma,11
California,Stanislaus,7
California,Sutter,2
California,Tehama,8
California,Trinity,4
California,Tulare,10
California,Tuolumne,5
California,Ventura,11
California,Yolo,6
California,Yuba,11
Colorado,Adams,16
Colorado,Alamosa,7
Colorado,Arapahoe,2
Colorado,Archuleta,7
Colorado,Baca,4
Colorado,Boulder,12
Colorado,Chaffee,11
Colorado,Clear Creek,3
Colorado,Conejos,4
Colorado,Crowley,1
Colorado,Delta,5
Colorado,Denver,1
Colorado,Dolores,1
Colorado,Douglas,2
Colorado,Eagle,4
Colorado,El Paso,11
Colorado,Elbert,1
Colorado,Fremont,24
Colorado,Garfield,10
Colorado,Gilpin,1
Colorado,Grand,8
Colorado,Gunnison,5
Colorado,Huerfano,2
Colorado,Jackson,2
Colorado,Jefferson,14
Colorado,Kit Carson,1
Colorado,La Plata,14
Colorado,Lake,4
Colorado,Larimer,39
Colorado,Las Animas,7
Colorado,Logan,2
Colorado,Mesa,30
Colorado,Moffat,7
Colorado,Montezuma,13
Colorado,Montrose,13
Colorado,Morgan,4
Colorado,Otero,2
Colorado,Park,4
Colorado,Phillips,1
Colorado,Prowers,12
Colorado,Pueblo,11
Colorado,Rio Blanco,6
Colorado,Rio Grande,3
Colorado,Routt,10
Colorado,Saguache,2
Colorado,San Miguel,5
Colorado,Summit,4
Colorado,Teller,6
Colorado,Weld,27
Connecticut,Fairfield,8
Connecticut,Hartford,16
Connecticut,Litchfield,15
Connecticut,Middlesex,4
Connecticut,New Haven,16
Connecticut,New London,20
Connecticut,Tolland,12
Connecticut,Windham,26
Delaware,Kent,3
Delaware,New Castle,2
Delaware,Sussex,4
Florida,Alachua,5
Florida,Bay,2
Florida,Brevard,3
Florida,Broward,1
Florida,Calhoun,1
Florida,Charlotte,11
Florida,Citrus,6
Florida,Clay,3
Florida,Collier,8
Florida,Dade,16
Florida,De Soto,1
Florida,Dixie,1
Florida,Duval,1
Florida,Escambia,5
Florida,Gadsden,4
Florida,Gilchrist,1
Florida,Glades,4
Florida,Hamilton,2
Florida,Hardee,1
Florida,Hendry,1
Florida,Hernando,7
Florida,Hillsborough,3
Florida,Jackson,4
Florida,Jefferson,1
Florida,Lafayette,2
Florida,Lake,6
Florida,Lee,7
Florida,Leon,1
Florida,Levy,3
Florida,Liberty,1
Florida,Manatee,2
Florida,Marion,15
Florida,Monroe,3
Florida,Okaloosa,2
Florida,Okeechobee,4
Florida,Orange,2
Florida,Palm Beach,6
Florida,Pasco,2
Florida,Polk,23
Florida,Putnam,3
Florida,Santa Rosa,4
Florida,Sarasota,3
Florida,St Lucie,4
Florida,Sumter,8
Florida,Suwannee,7
Florida,Taylor,4
Florida,Volusia,1
Florida,Walton,5
Florida,Washington,2
Georgia,Appling,2
Georgia,Baldwin,2
Georgia,Barrow,1
Georgia,Bartow,4
Georgia,Berrien,1
Georgia,Bibb,2
Georgia,Brantley,1
Georgia,Calhoun,1
Georgia,Carroll,1
Georgia,Catoosa,1
Georgia,Chatham,1
Georgia,Chattooga,1
Georgia,Cherokee,3
Georgia,Clarke,1
Georgia,Clayton,3
Georgia,Cobb,1
Georgia,Columbia,2
Georgia,Cook,2
Georgia,Coweta,1
Georgia,Crawford,1
Georgia,De Kalb,5
Georgia,Decatur,4
Georgia,Dougherty,1
Georgia,Douglas,4
Georgia,Echols,1
Georgia,Effingham,3
Georgia,Elbert,17
Georgia,Evans,1
Georgia,Fayette,2
Georgia,Floyd,3
Georgia,Forsyth,3
Georgia,Fulton,7
Georgia,Gilmer,3
Georgia,Glascock,1
Georgia,Gordon,2
Georgia,Greene,4
Georgia,Gwinnett,3
Georgia,Habersham,1
Georgia,Hall,2
Georgia,Hancock,1
Georgia,Harris,1
Georgia,Hart,1
Georgia,Heard,1
Georgia,Henry,1
Georgia,Houston,1
Georgia,Jackson,4
Georgia,Jasper,1
Georgia,Jefferson,3
Georgia,Jones,2
Georgia,Lanier,1
Georgia,Lee,1
Georgia,Long,2
Georgia,Lumpkin,1
Georgia,Macon,3
Georgia,Madison,1
Georgia,Marion,1
Georgia,Monroe,2
Georgia,Montgomery,1
Georgia,Morgan,1
Georgia,Murray,2
Georgia,Muscogee,2
Georgia,Newton,2
Georgia,Oglethorpe,18
Georgia,Paulding,3
Georgia,Pickens,10
Georgia,Polk,2
Georgia,Rabun,1
Georgia,Richmond,3
Georgia,Rockdale,1
Georgia,Spalding,1
Georgia,Stephens,1
Georgia,Sumter,2
Georgia,Talbot,3
Georgia,Taylor,2
Georgia,Thomas,2
Georgia,Toombs,1
Georgia,Towns,2
Georgia,Troup,1
Georgia,Twiggs,6
Georgia,Union,1
Georgia,Walker,1
Georgia,Walton,1
Georgia,Warren,3
Georgia,Washington,11
Georgia,White,1
Georgia,Whitfield,3
Georgia,Wilkes,2
Georgia,Wilkinson,11
Hawaii,Hawaii,34
Hawaii,Honolulu,8
Hawaii,Kauai,8
Hawaii,Maui,13
Idaho,Ada,22
Idaho,Adams,3
Idaho,Bannock,3
Idaho,Bear Lake,4
Idaho,Benewah,5
Idaho,Bingham,6
Idaho,Blaine,5
Idaho,Boise,4
Idaho,Bonner,11
Idaho,Bonneville,13
Idaho,Boundary,2
Idaho,Canyon,13
Idaho,Caribou,10
Idaho,Cassia,12
Idaho,Clark,1
Idaho,Clearwater,2
Idaho,Custer,5
Idaho,Elmore,5
Idaho,Franklin,4
Idaho,Fremont,5
Idaho,Gem,5
Idaho,Gooding,2
Idaho,Idaho,11
Idaho,Jefferson,3
Idaho,Kootenai,9
Idaho,Latah,2
Idaho,Lemhi,5
Idaho,Madison,5
Idaho,Minidoka,8
Idaho,Nez Perce,10
Idaho,Oneida,3
Idaho,Owyhee,2
Idaho,Payette,4
Idaho,Power,2
Idaho,Shoshone,10
Idaho,Teton,6
Idaho,Twin Falls,8
Idaho,Valley,8
Idaho,Washington,2
Illinois,Adams,4
Illinois,Alexander,3
Illinois,Bond,2
Illinois,Boone,7
Illinois,Bureau,1
Illinois,Carroll,7
Illinois,Champaign,5
Illinois,Christian,1
Illinois,Clark,5
Illinois,Clinton,1
Illinois,Coles,2
Illinois,Cook,10
Illinois,Crawford,1
Illinois,Cumberland,2
Illinois,De Kalb,3
Illinois,Douglas,1
Illinois,Fayette,2
Illinois,Ford,1
Illinois,Franklin,2
Illinois,Fulton,3
Illinois,Gallatin,2
Illinois,Greene,1
Illinois,Grundy,5
Illinois,Hancock,4
Illinois,Hardin,6
Illinois,Henderson,1
Illinois,Henry,1
Illinois,Iroquois,1
Illinois,Jackson,6
Illinois,Jefferson,2
Illinois,Jersey,2
Illinois,Jo Daviess,6
Illinois,Johnson,2
Illinois,Kane,11
Illinois,Kankakee,3
Illinois,Kendall,3
Illinois,Knox,1
Illinois,La Salle,15
Illinois,Lake,2
Illinois,Lawrence,1
Illinois,Lee,6
Illinois,Livingston,8
Illinois,Macon,2
Illinois,Macoupin,3
Illinois,Madison,5
Illinois,Marshall,4
Illinois,Mason,1
Illinois,Massac,1
Illinois,McDonough,2
Illinois,McHenry,17
Illinois,McLean,7
Illinois,Menard,1
Illinois,Monroe,1
Illinois,Montgomery,2
Illinois,Ogle,11
Illinois,Peoria,3
Illinois,Perry,5
Illinois,Pike,6
Illinois,Pope,1
Illinois,Pulaski,1
Illinois,Putnam,1
Illinois,Randolph,4
Illinois,Rock Island,5
Illinois,Saline,6
Illinois,Sangamon,6
Illinois,Scott,1
Illinois,Shelby,3
Illinois,St Clair,6
Illinois,Stephenson,5
Illinois,Tazewell,8
Illinois,Union,2
Illinois,Vermilion,3
Illinois,Wabash,2
Illinois,Warren,1
Illinois,White,2
Illinois,Whiteside,5
Illinois,Will,13
Illinois,Williamson,2
Illinois,Winnebago,16
Illinois,Woodford,4
Indiana,Adams,5
Indiana,Allen,6
Indiana,Bartholomew,3
Indiana,Blackford,1
Indiana,Boone,1
Indiana,Carroll,2
Indiana,Cass,3
Indiana,Clark,7
Indiana,Clay,2
Indiana,Crawford,6
Indiana,Daviess,4
Indiana,De Kalb,5
Indiana,Decatur,3
Indiana,Delaware,3
Indiana,Dubois,3
Indiana,Elkhart,10
Indiana,Fayette,1
Indiana,Floyd,2
Indiana,Franklin,5
Indiana,Fulton,1
Indiana,Gibson,12
Indiana,Grant,5
Indiana,Greene,3
Indiana,Hamilton,12
Indiana,Hancock,2
Indiana,Harrison,7
Indiana,Henry,1
Indiana,Howard,3
Indiana,Huntington,3
Indiana,Jackson,2
Indiana,Jasper,2
Indiana,Jay,1
Indiana,Jennings,2
Indiana,Johnson,3
Indiana,Knox,11
Indiana,Kosciusko,6
Indiana,La Grange,1
Indiana,La Porte,1
Indiana,Lake,3
Indiana,Lawrence,7
Indiana,Madison,5
Indiana,Marion,9
Indiana,Marshall,2
Indiana,Martin,2
Indiana,Miami,5
Indiana,Monroe,14
Indiana,Montgomery,1
Indiana,Morgan,13
Indiana,Newton,1
Indiana,Noble,6
Indiana,Ohio,1
Indiana,Orange,3
Indiana,Owen,1
Indiana,Parke,3
Indiana,Pike,12
Indiana,Porter,1
Indiana,Posey,2
Indiana,Pulaski,2
Indiana,Putnam,8
Indiana,Randolph,1
Indiana,Ripley,2
Indiana,Rush,1
Indiana,Scott,1
Indiana,Shelby,5
Indiana,Spencer,1
Indiana,St Joseph,1
Indiana,Starke,1
Indiana,Steuben,9
Indiana,Sullivan,5
Indiana,Switzerland,1
Indiana,Tippecanoe,3
Indiana,Union,1
Indiana,Vanderburgh,2
Indiana,Vermillion,3
Indiana,Vigo,7
Indiana,Wabash,2
Indiana,Warren,3
Indiana,Warrick,3
Indiana,Washington,1
Indiana,Wayne,5
Indiana,Wells,2
Indiana,White,2
Indiana,Whitley,1
Iowa,Adair,10
Iowa,Appanoose,5
Iowa,Benton,5
Iowa,Black Hawk,9
Iowa,Boone,2
Iowa,Bremer,1
Iowa,Buena Vista,2
Iowa,Butler,2
Iowa,Carroll,4
Iowa,Cerro Gordo,4
Iowa,Cherokee,3
Iowa,Chickasaw,2
Iowa,Clay,4
Iowa,Clayton,3
Iowa,Clinton,13
Iowa,Dallas,2
Iowa,Davis,1
Iowa,Delaware,7
Iowa,Des Moines,6
Iowa,Dickinson,7
Iowa,Dubuque,5
Iowa,Emmet,2
Iowa,Fayette,10
Iowa,Floyd,7
Iowa,Greene,2
Iowa,Guthrie,1
Iowa,Hamilton,1
Iowa,Hancock,1
Iowa,Hardin,10
Iowa,Harrison,1
Iowa,Henry,2
Iowa,Humboldt,1
Iowa,Iowa,1
Iowa,Jackson,4
Iowa,Jasper,2
Iowa,Jefferson,1
Iowa,Johnson,3
Iowa,Jones,3
Iowa,Keokuk,2
Iowa,Kossuth,2
Iowa,Lee,6
Iowa,Linn,6
Iowa,Louisa,2
Iowa,Lyon,3
Iowa,Madison,1
Iowa,Marion,5
Iowa,Marshall,3
Iowa,Mitchell,13
Iowa,Montgomery,1
Iowa,Muscatine,5
Iowa,O Brien,1
Iowa,Osceola,3
Iowa,Palo Alto,1
Iowa,Plymouth,6
Iowa,Pocahontas,2
Iowa,Polk,37
Iowa,Pottawattamie,2
Iowa,Poweshiek,2
Iowa,Sac,3
Iowa,Scott,6
Iowa,Shelby,4
Iowa,Sioux,4
Iowa,Story,2
Iowa,Tama,1
Iowa,Van Buren,3
Iowa,Wapello,5
Iowa,Washington,1
Iowa,Webster,9
Iowa,Winneshiek,17
Iowa,Woodbury,3
Iowa,Worth,2
Iowa,Wright,1
Kansas,Allen,7
Kansas,Anderson,1
Kansas,Atchison,3
Kansas,Barber,1
Kansas,Barton,7
Kansas,Bourbon,4
Kansas,Butler,5
Kansas,Chase,7
Kansas,Cherokee,3
Kansas,Clay,1
Kansas,Cloud,2
Kansas,Cowley,6
Kansas,Crawford,8
Kansas,Dickinson,3
Kansas,Doniphan,2
Kansas,Douglas,2
Kansas,Edwards,2
Kansas,Ellis,9
Kansas,Ellsworth,2
Kansas,Finney,4
Kansas,Ford,5
Kansas,Franklin,2
Kansas,Geary,2
Kansas,Gray,1
Kansas,Greenwood,1
Kansas,Hamilton,3
Kansas,Jefferson,5
Kansas,Jewell,1
Kansas,Johnson,14
Kansas,Kearny,1
Kansas,Kiowa,1
Kansas,Labette,1
Kansas,Lincoln,1
Kansas,Linn,9
Kansas,Lyon,3
Kansas,Marion,3
Kansas,Marshall,5
Kansas,McPherson,1
Kansas,Miami,2
Kansas,Montgomery,3
Kansas,Nemaha,2
Kansas,Neosho,4
Kansas,Norton,1
Kansas,Osage,3
Kansas,Pawnee,2
Kansas,Phillips,1
Kansas,Pottawatomie,1
Kansas,Pratt,2
Kansas,Reno,6
Kansas,Republic,1
Kansas,Rice,2
Kansas,Riley,5
Kansas,Saline,3
Kansas,Sedgwick,11
Kansas,Seward,1
Kansas,Shawnee,5
Kansas,Sherman,1
Kansas,Smith,1
Kansas,Sumner,1
Kansas,Thomas,1
Kansas,Trego,3
Kansas,Wabaunsee,7
Kansas,Washington,1
