State,County,Number of Mines
Alabama,Autauga,4
Alabama,Baldwin,6
Alabama,Barbour,3
Alabama,Bibb,6
Alabama,Blount,9
Alabama,Calhoun,2
Alabama,Cherokee,1
Alabama,Chilton,3
Alabama,Clarke,6
Alabama,Colbert,5
Alabama,Coosa,2
Alabama,Covington,1
Alabama,Cullman,4
Alabama,Dale,1
Alabama,Dallas,4
Alabama,De Kalb,2
Alabama,Elmore,4
Alabama,Escambia,8
Alabama,Etowah,3
Alabama,Fayette,4
Alabama,Franklin,7
Alabama,Geneva,1
Alabama,Hale,2
Alabama,Jackson,8
Alabama,Jefferson,25
Alabama,Lawrence,1
Alabama,Lee,3
Alabama,Limestone,1
Alabama,Lowndes,3
Alabama,Macon,4
Alabama,Madison,2
Alabama,Marengo,2
Alabama,Marion,4
Alabama,Marshall,2
Alabama,Mobile,8
Alabama,Monroe,6
Alabama,Montgomery,10
Alabama,Morgan,5
Alabama,Pickens,2
Alabama,Randolph,2
Alabama,Russell,4
Alabama,Shelby,25
Alabama,St Clair,5
Alabama,Sumter,1
Alabama,Talladega,6
Alabama,Tuscaloosa,19
Alabama,Walker,23
Alabama,Washington,1
Alabama,Winston,4
Alaska,Aleutians West,1
Alaska,Anchorage,18
Alaska,Bethel,3
Alaska,Bristol Bay,1
Alaska,Denali,3
Alaska,Dillingham,1
Alaska,Fairbanks North Star,39
Alaska,Juneau,9
Alaska,Kenai Peninsula,9
Alaska,Ketchikan Gateway,4
Alaska,Kodiak Island,6
Alaska,Lake and Peninsula,1
Alaska,Matanuska-Susitna,22
Alaska,Nome,9
Alaska,North Slope,1
Alaska,Northwest Arctic,1
Alaska,Sitka,2
Alaska,Skagway-Hoonah-Angoon,4
Alaska,Southeast Fairbanks,5
Alaska,Valdez-Cordova,4
Alaska,Yukon-Koyukuk,8
Arizona,Apache,7
Arizona,Cochise,29
Arizona,Coconino,40
Arizona,Gila,19
Arizona,Graham,6
Arizona,Greenlee,5
Arizona,La Paz,7
Arizona,Maricopa,97
Arizona,Mohave,45
Arizona,Navajo,16
Arizona,Pima,30
Arizona,Pinal,50
Arizona,Santa Cruz,9
Arizona,Yavapai,41
Arizona,Yuma,11
Arkansas,Arkansas,1
Arkansas,Baxter,6
Arkansas,Benton,5
Arkansas,Boone,3
Arkansas,Bradley,1
Arkansas,Calhoun,1
Arkansas,Carroll,2
Arkansas,Cleburne,3
Arkansas,Conway,5
Arkansas,Craighead,3
Arkansas,Crawford,2
Arkansas,Crittenden,1
Arkansas,Cross,3
Arkansas,Faulkner,3
Arkansas,Franklin,6
Arkansas,Fulton,1
Arkansas,Garland,11
Arkansas,Grant,6
Arkansas,Greene,2
Arkansas,Hot Spring,6
Arkansas,Howard,2
Arkansas,Independence,12
Arkansas,Izard,3
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,2
Arkansas,Lawrence,3
Arkansas,Lincoln,1
Arkansas,Little River,2
Arkansas,Logan,3
Arkansas,Lonoke,1
Arkansas,Marion,1
Arkansas,Montgomery,15
Arkansas,Ouachita,3
Arkansas,Perry,1
Arkansas,Pike,2
Arkansas,Poinsett,2
Arkansas,Polk,3
Arkansas,Pope,3
Arkansas,Pulaski,12
Arkansas,Randolph,1
Arkansas,Saline,10
Arkansas,Scott,1
Arkansas,Searcy,1
Arkansas,Sebastian,9
Arkansas,Sevier,3
Arkansas,Sharp,1
Arkansas,Stone,5
Arkansas,Van Buren,5
Arkansas,Washington,10
Arkansas,White,6
California,Alameda,6
California,Alpine,2
California,Amador,10
California,Butte,10
California,Calaveras,7
California,Colusa,1
California,Contra Costa,7
California,Del Norte,2
California,El Dorado,4
California,Fresno,7
California,Glenn,5
California,Humboldt,21
California,Imperial,13
California,Inyo,15
California,Kern,27
California,Lake,9
California,Lassen,8
California,Los Angeles,26
California,Madera,2
California,Marin,2
California,Mariposa,5
California,Mendocino,11
California,Merced,9
California,Modoc,8
California,Mono,5
California,Monterey,11
California,Napa,3
California,Nevada,6
California,Orange,2
California,Placer,8
California,Plumas,7
California,Riverside,60
California,Sacramento,9
California,San Benito,8
California,San Bernardino,69
California,San Diego,27
California,San Francisco,2
California,San Joaquin,15
California,San Luis Obispo,10
California,San Mateo,4
California,Santa Barbara,13
California,Santa Clara,7
California,Santa Cruz,6
California,Shasta,20
California,Sierra,1
California,Siskiyou,10
California,Solano,2
California,Sonoma,11
California,Stanislaus,7
California,Sutter,2
California,Tehama,10
California,Trinity,4
California,Tulare,9
California,Tuolumne,5
California,Ventura,11
California,Yolo,6
California,Yuba,11
Colorado,Adams,12
Colorado,Alamosa,7
Colorado,Arapahoe,1
Colorado,Archuleta,5
Colorado,Baca,4
Colorado,Boulder,9
Colorado,Chaffee,12
Colorado,Clear Creek,3
Colorado,Conejos,3
Colorado,Crowley,1
Colorado,Delta,5
Colorado,Denver,1
Colorado,Dolores,1
Colorado,Douglas,2
Colorado,Eagle,3
Colorado,El Paso,11
Colorado,Elbert,1
Colorado,Fremont,24
Colorado,Garfield,11
Colorado,Gilpin,2
Colorado,Grand,8
Colorado,Gunnison,5
Colorado,Hinsdale,1
Colorado,Huerfano,2
Colorado,Jackson,2
Colorado,Jefferson,13
Colorado,Kit Carson,1
Colorado,La Plata,14
Colorado,Lake,3
Colorado,Larimer,38
Colorado,Las Animas,5
Colorado,Logan,1
Colorado,Mesa,31
Colorado,Moffat,7
Colorado,Montezuma,9
Colorado,Montrose,14
Colorado,Morgan,3
Colorado,Otero,2
Colorado,Ouray,3
Colorado,Park,3
Colorado,Prowers,11
Colorado,Pueblo,12
Colorado,Rio Blanco,5
Colorado,Rio Grande,3
Colorado,Routt,9
Colorado,Saguache,3
Colorado,San Miguel,4
Colorado,Sedgwick,1
Colorado,Summit,4
Colorado,Teller,5
Colorado,Weld,31
Connecticut,Fairfield,9
Connecticut,Hartford,15
Connecticut,Litchfield,17
Connecticut,Middlesex,4
Connecticut,New Haven,15
Connecticut,New London,20
Connecticut,Tolland,10
Connecticut,Windham,23
Delaware,Kent,3
Delaware,New Castle,2
Delaware,Sussex,4
Florida,Alachua,5
Florida,Bay,2
Florida,Brevard,2
Florida,Broward,1
Florida,Calhoun,1
Florida,Charlotte,12
Florida,Citrus,6
Florida,Clay,3
Florida,Collier,7
Florida,Dade,14
Florida,De Soto,1
Florida,Dixie,1
Florida,Duval,1
Florida,Escambia,6
Florida,Gadsden,4
Florida,Gilchrist,1
Florida,Glades,4
Florida,Gulf,1
Florida,Hamilton,2
Florida,Hardee,1
Florida,Hendry,1
Florida,Hernando,7
Florida,Hillsborough,2
Florida,Holmes,1
Florida,Indian River,1
Florida,Jackson,4
Florida,Jefferson,1
Florida,Lafayette,2
Florida,Lake,7
Florida,Lee,8
Florida,Leon,1
Florida,Levy,3
Florida,Liberty,1
Florida,Manatee,2
Florida,Marion,13
Florida,Martin,1
Florida,Monroe,3
Florida,Okaloosa,1
Florida,Okeechobee,2
Florida,Orange,2
Florida,Palm Beach,5
Florida,Pasco,2
Florida,Polk,20
Florida,Putnam,3
Florida,Santa Rosa,4
Florida,Sarasota,2
Florida,St Johns,1
Florida,St Lucie,4
Florida,Sumter,9
Florida,Suwannee,6
Florida,Taylor,4
Florida,Walton,4
Florida,Washington,2
Georgia,Appling,2
Georgia,Baldwin,2
Georgia,Barrow,1
Georgia,Bartow,4
Georgia,Berrien,1
Georgia,Bibb,2
Georgia,Burke,1
Georgia,Calhoun,1
Georgia,Carroll,1
Georgia,Catoosa,1
Georgia,Chatham,2
Georgia,Chattooga,1
Georgia,Cherokee,3
Georgia,Clarke,1
Georgia,Clayton,3
Georgia,Cobb,1
Georgia,Columbia,2
Georgia,Cook,2
Georgia,Coweta,1
Georgia,Crawford,1
Georgia,De Kalb,5
Georgia,Decatur,4
Georgia,Douglas,4
Georgia,Echols,1
Georgia,Effingham,3
Georgia,Elbert,17
Georgia,Evans,1
Georgia,Fayette,2
Georgia,Floyd,3
Georgia,Forsyth,3
Georgia,Fulton,7
Georgia,Gilmer,3
Georgia,Glascock,1
Georgia,Glynn,1
Georgia,Gordon,2
Georgia,Greene,5
Georgia,Gwinnett,3
Georgia,Habersham,1
Georgia,Hall,2
Georgia,Hancock,2
Georgia,Harris,1
Georgia,Hart,1
Georgia,Heard,1
Georgia,Henry,1
Georgia,Houston,1
Georgia,Jackson,4
Georgia,Jasper,1
Georgia,Jefferson,3
Georgia,Jones,2
Georgia,Lanier,1
Georgia,Lee,1
Georgia,Long,2
Georgia,Lumpkin,1
Georgia,Macon,3
Georgia,Madison,1
Georgia,Marion,1
Georgia,Monroe,2
Georgia,Montgomery,1
Georgia,Morgan,1
Georgia,Murray,2
Georgia,Muscogee,2
Georgia,Newton,2
Georgia,Oglethorpe,17
Georgia,Paulding,3
Georgia,Pickens,9
Georgia,Polk,2
Georgia,Rabun,1
Georgia,Richmond,3
Georgia,Spalding,1
Georgia,Stephens,1
Georgia,Sumter,2
Georgia,Talbot,3
Georgia,Taylor,2
Georgia,Thomas,2
Georgia,Toombs,1
Georgia,Towns,1
Georgia,Troup,1
Georgia,Twiggs,5
Georgia,Union,1
Georgia,Walker,1
Georgia,Walton,1
Georgia,Warren,3
Georgia,Washington,11
Georgia,White,1
Georgia,Whitfield,2
Georgia,Wilkes,2
Georgia,Wilkinson,11
Hawaii,Hawaii,41
Hawaii,Honolulu,10
Hawaii,Kauai,9
Hawaii,Maui,17
Idaho,Ada,23
Idaho,Adams,3
Idaho,Bannock,2
Idaho,Bear Lake,3
Idaho,Benewah,5
Idaho,Bingham,8
Idaho,Blaine,5
Idaho,Boise,4
Idaho,Bonner,16
Idaho,Bonneville,11
Idaho,Boundary,2
Idaho,Canyon,15
Idaho,Caribou,9
Idaho,Cassia,14
Idaho,Clark,1
Idaho,Clearwater,2
Idaho,Custer,5
Idaho,Elmore,5
Idaho,Franklin,3
Idaho,Fremont,5
Idaho,Gem,6
Idaho,Gooding,2
Idaho,Idaho,8
Idaho,Jefferson,3
Idaho,Kootenai,13
Idaho,Latah,2
Idaho,Lemhi,5
Idaho,Madison,7
Idaho,Minidoka,9
Idaho,Nez Perce,9
Idaho,Oneida,3
Idaho,Owyhee,3
Idaho,Payette,6
Idaho,Power,2
Idaho,Shoshone,11
Idaho,Teton,6
Idaho,Twin Falls,8
Idaho,Valley,8
Idaho,Washington,2
Illinois,Adams,4
Illinois,Alexander,4
Illinois,Bond,1
Illinois,Boone,5
Illinois,Bureau,4
Illinois,Carroll,6
Illinois,Champaign,3
Illinois,Christian,1
Illinois,Clark,4
Illinois,Clinton,1
Illinois,Coles,3
Illinois,Cook,10
Illinois,Crawford,1
Illinois,Cumberland,2
Illinois,De Kalb,4
Illinois,Douglas,1
Illinois,Fayette,2
Illinois,Ford,1
Illinois,Franklin,2
Illinois,Fulton,3
Illinois,Gallatin,2
Illinois,Greene,1
Illinois,Grundy,4
Illinois,Hancock,3
Illinois,Hardin,6
Illinois,Henderson,1
Illinois,Henry,1
Illinois,Iroquois,1
Illinois,Jackson,6
Illinois,Jefferson,2
Illinois,Jersey,2
Illinois,Jo Daviess,6
Illinois,Johnson,2
Illinois,Kane,11
Illinois,Kankakee,3
Illinois,Kendall,3
Illinois,Knox,1
Illinois,La Salle,16
Illinois,Lake,2
Illinois,Lawrence,1
Illinois,Lee,6
Illinois,Livingston,7
Illinois,Macon,2
Illinois,Macoupin,3
Illinois,Madison,6
Illinois,Marshall,3
Illinois,Mason,1
Illinois,Massac,1
Illinois,McDonough,2
Illinois,McHenry,16
Illinois,McLean,6
Illinois,Menard,1
Illinois,Monroe,1
Illinois,Montgomery,2
Illinois,Ogle,8
Illinois,Peoria,3
Illinois,Perry,5
Illinois,Pike,5
Illinois,Pope,1
Illinois,Pulaski,1
Illinois,Putnam,1
Illinois,Randolph,3
Illinois,Rock Island,4
Illinois,Saline,6
Illinois,Sangamon,7
Illinois,Scott,1
Illinois,Shelby,3
Illinois,St Clair,5
Illinois,Stephenson,5
Illinois,Tazewell,9
Illinois,Union,2
Illinois,Vermilion,3
Illinois,Wabash,2
Illinois,Warren,1
Illinois,Washington,1
Illinois,White,2
Illinois,Whiteside,5
Illinois,Will,13
Illinois,Williamson,3
Illinois,Winnebago,18
Illinois,Woodford,4
Indiana,Adams,5
Indiana,Allen,6
Indiana,Bartholomew,3
Indiana,Blackford,1
Indiana,Boone,1
Indiana,Carroll,2
Indiana,Cass,4
Indiana,Clark,7
Indiana,Clay,2
Indiana,Crawford,5
Indiana,Daviess,4
Indiana,De Kalb,5
Indiana,Decatur,3
Indiana,Delaware,3
Indiana,Dubois,3
Indiana,Elkhart,10
Indiana,Fayette,1
Indiana,Floyd,2
Indiana,Franklin,4
Indiana,Fulton,1
Indiana,Gibson,8
Indiana,Grant,5
Indiana,Greene,2
Indiana,Hamilton,12
Indiana,Hancock,2
Indiana,Harrison,7
Indiana,Henry,1
Indiana,Howard,3
Indiana,Huntington,3
Indiana,Jackson,2
Indiana,Jasper,2
Indiana,Jay,1
Indiana,Jennings,2
Indiana,Johnson,3
Indiana,Knox,12
Indiana,Kosciusko,5
Indiana,La Grange,1
Indiana,La Porte,1
Indiana,Lake,2
Indiana,Lawrence,9
Indiana,Madison,5
Indiana,Marion,8
Indiana,Marshall,2
Indiana,Martin,2
Indiana,Miami,4
Indiana,Monroe,12
Indiana,Montgomery,1
Indiana,Morgan,11
Indiana,Newton,1
Indiana,Noble,7
Indiana,Orange,3
Indiana,Owen,2
Indiana,Parke,3
Indiana,Pike,12
Indiana,Porter,1
Indiana,Posey,2
Indiana,Pulaski,2
Indiana,Putnam,10
Indiana,Randolph,1
Indiana,Ripley,2
Indiana,Rush,1
Indiana,Scott,1
Indiana,Shelby,5
Indiana,Spencer,1
Indiana,St Joseph,1
Indiana,Starke,1
Indiana,Steuben,9
Indiana,Sullivan,5
Indiana,Switzerland,1
Indiana,Tippecanoe,3
Indiana,Union,1
Indiana,Vanderburgh,2
Indiana,Vermillion,3
Indiana,Vigo,6
Indiana,Wabash,2
Indiana,Warren,3
Indiana,Warrick,5
Indiana,Washington,1
Indiana,Wayne,4
Indiana,Wells,3
Indiana,White,2
Indiana,Whitley,1
Iowa,Adair,11
Iowa,Appanoose,6
Iowa,Benton,6
Iowa,Black Hawk,9
Iowa,Boone,2
Iowa,Bremer,1
