State,County,Number of Employees
Alabama,Autauga,14
Alabama,Baldwin,6
Alabama,Barbour,87
Alabama,Bibb,5
Alabama,Blount,41
Alabama,Calhoun,46
Alabama,Chilton,32
Alabama,Choctaw,0
Alabama,Clarke,12
Alabama,Cleburne,5
Alabama,Coffee,1
Alabama,Colbert,97
Alabama,Conecuh,41
Alabama,Coosa,16
Alabama,Covington,3
Alabama,Cullman,32
Alabama,Dale,5
Alabama,Dallas,43
Alabama,De Kalb,19
Alabama,Elmore,31
Alabama,Escambia,76
Alabama,Etowah,23
Alabama,Fayette,327
Alabama,Franklin,59
Alabama,Geneva,6
Alabama,Greene,3
Alabama,Hale,4
Alabama,Houston,5
Alabama,Jackson,22
Alabama,Jefferson,2554
Alabama,Lawrence,10
Alabama,Lee,34
Alabama,Lowndes,36
Alabama,Macon,48
Alabama,Madison,62
Alabama,Marengo,78
Alabama,Marion,84
Alabama,Marshall,51
Alabama,Mobile,155
Alabama,Monroe,19
Alabama,Montgomery,80
Alabama,Morgan,60
Alabama,Pickens,10
Alabama,Russell,23
Alabama,Shelby,818
Alabama,St Clair,181
Alabama,Sumter,83
Alabama,Talladega,467
Alabama,Tuscaloosa,1700
Alabama,Walker,1074
Alabama,Washington,9
Alabama,Winston,30
Alaska,Aleutians West,0
Alaska,Anchorage,87
Alaska,Bethel,8
Alaska,Fairbanks North Star,248
Alaska,Juneau,202
Alaska,Kenai Peninsula,6
Alaska,Ketchikan Gateway,6
Alaska,Matanuska-Susitna,53
Alaska,Nome,72
Alaska,Northwest Arctic,197
Alaska,Prince of Wales-Outer Ketchikan,0
Alaska,Sitka,4
Alaska,Southeast Fairbanks,2
Alaska,Valdez-Cordova,0
Alaska,Yukon-Koyukuk,202
Arizona,Apache,28
Arizona,Cochise,227
Arizona,Coconino,91
Arizona,Gila,1062
Arizona,Graham,19
Arizona,Greenlee,2620
Arizona,La Paz,7
Arizona,Maricopa,727
Arizona,Mohave,239
Arizona,Navajo,794
Arizona,Pima,2098
Arizona,Pinal,3383
Arizona,Santa Cruz,23
Arizona,Yavapai,812
Arizona,Yuma,65
Arkansas,Ashley,3
Arkansas,Baxter,32
Arkansas,Benton,95
Arkansas,Boone,32
Arkansas,Bradley,4
Arkansas,Calhoun,37
Arkansas,Carroll,19
Arkansas,Clark,18
Arkansas,Cleburne,18
Arkansas,Conway,0
Arkansas,Craighead,18
Arkansas,Crawford,42
Arkansas,Crittenden,38
Arkansas,Cross,3
Arkansas,Desha,20
Arkansas,Faulkner,31
Arkansas,Franklin,19
Arkansas,Garland,120
Arkansas,Grant,11
Arkansas,Greene,20
Arkansas,Hempstead,4
Arkansas,Hot Spring,63
Arkansas,Howard,50
Arkansas,Independence,138
Arkansas,Izard,77
Arkansas,Jackson,5
Arkansas,Jefferson,7
Arkansas,Johnson,10
Arkansas,Lawrence,55
Arkansas,Lincoln,13
Arkansas,Little River,227
Arkansas,Logan,53
Arkansas,Marion,5
Arkansas,Miller,1
Arkansas,Montgomery,47
Arkansas,Nevada,2
Arkansas,Ouachita,44
Arkansas,Perry,13
Arkansas,Pike,44
Arkansas,Poinsett,28
Arkansas,Polk,58
Arkansas,Pope,37
Arkansas,Pulaski,429
Arkansas,Saline,479
Arkansas,Scott,2
Arkansas,Sebastian,109
Arkansas,Sevier,11
Arkansas,Sharp,3
Arkansas,St Francis,7
Arkansas,Stone,4
Arkansas,Union,4
Arkansas,Van Buren,10
Arkansas,Washington,37
Arkansas,White,26
California,Alameda,239
California,Amador,108
California,Butte,57
California,Calaveras,24
California,Colusa,4
California,Contra Costa,115
California,Del Norte,19
California,El Dorado,33
California,Fresno,98
California,Glenn,31
California,Humboldt,52
California,Imperial,572
California,Inyo,231
California,Kern,1292
California,Lake,262
California,Lassen,128
California,Los Angeles,484
California,Madera,44
California,Marin,39
California,Mariposa,30
California,Mendocino,81
California,Merced,18
California,Modoc,18
California,Mono,35
California,Monterey,146
California,Napa,55
California,Nevada,93
California,Orange,143
California,Placer,49
California,Plumas,22
California,Riverside,521
California,Sacramento,170
California,San Benito,107
California,San Bernardino,1636
California,San Diego,355
California,San Francisco,2
California,San Joaquin,124
California,San Luis Obispo,43
California,San Mateo,24
California,Santa Barbara,475
California,Santa Clara,188
California,Santa Cruz,180
California,Shasta,262
California,Sierra,103
California,Siskiyou,47
California,Solano,61
California,Sonoma,190
California,Stanislaus,37
California,Sutter,18
California,Tehama,30
California,Trinity,7
California,Tulare,67
California,Tuolumne,69
California,Ventura,153
California,Yolo,49
California,Yuba,89
Colorado,Adams,152
Colorado,Alamosa,25
Colorado,Arapahoe,26
Colorado,Archuleta,25
Colorado,Baca,3
Colorado,Boulder,148
Colorado,Chaffee,33
Colorado,Cheyenne,2
Colorado,Clear Creek,476
Colorado,Conejos,24
Colorado,Costilla,113
Colorado,Delta,97
Colorado,Denver,2
Colorado,Dolores,4
Colorado,Douglas,24
Colorado,Eagle,26
Colorado,El Paso,86
Colorado,Elbert,0
Colorado,Fremont,262
Colorado,Garfield,40
Colorado,Gilpin,0
Colorado,Grand,13
Colorado,Gunnison,380
Colorado,Hinsdale,4
Colorado,Huerfano,4
Colorado,Jackson,7
Colorado,Jefferson,200
Colorado,Kit Carson,4
Colorado,La Plata,84
Colorado,Lake,123
Colorado,Larimer,327
Colorado,Las Animas,45
Colorado,Lincoln,1
Colorado,Logan,2
Colorado,Mesa,136
Colorado,Moffat,454
Colorado,Montezuma,30
Colorado,Montrose,53
Colorado,Morgan,22
Colorado,Otero,13
Colorado,Ouray,33
Colorado,Park,9
Colorado,Phillips,2
Colorado,Prowers,57
Colorado,Pueblo,53
Colorado,Rio Blanco,124
Colorado,Rio Grande,6
Colorado,Routt,406
Colorado,San Juan,5
Colorado,San Miguel,8
