State,County,Number of Employees
Alabama,Autauga,13
Alabama,Baldwin,7
Alabama,Barbour,60
Alabama,Bibb,5
Alabama,Blount,48
Alabama,Calhoun,49
Alabama,Chilton,26
Alabama,Clarke,28
Alabama,Cleburne,7
Alabama,Coffee,1
Alabama,Colbert,84
Alabama,Conecuh,17
Alabama,Coosa,16
Alabama,Covington,2
Alabama,Cullman,20
Alabama,Dale,5
Alabama,Dallas,41
Alabama,De Kalb,22
Alabama,Elmore,32
Alabama,Escambia,48
Alabama,Etowah,18
Alabama,Fayette,340
Alabama,Franklin,44
Alabama,Geneva,4
Alabama,Greene,3
Alabama,Hale,3
Alabama,Houston,4
Alabama,Jackson,21
Alabama,Jefferson,2343
Alabama,Lauderdale,0
Alabama,Lawrence,23
Alabama,Lee,40
Alabama,Lowndes,35
Alabama,Macon,49
Alabama,Madison,66
Alabama,Marengo,77
Alabama,Marion,48
Alabama,Marshall,50
Alabama,Mobile,170
Alabama,Monroe,20
Alabama,Montgomery,84
Alabama,Morgan,78
Alabama,Pickens,7
Alabama,Russell,24
Alabama,Shelby,910
Alabama,St Clair,181
Alabama,Sumter,82
Alabama,Talladega,435
Alabama,Tuscaloosa,1651
Alabama,Walker,718
Alabama,Washington,3
Alabama,Winston,31
Alaska,Aleutians West,4
Alaska,Anchorage,65
Alaska,Bethel,12
Alaska,Fairbanks North Star,326
Alaska,Juneau,257
Alaska,Kenai Peninsula,5
Alaska,Ketchikan Gateway,5
Alaska,Matanuska-Susitna,51
Alaska,Nome,75
Alaska,Northwest Arctic,173
Alaska,Prince of Wales-Outer Ketchikan,0
Alaska,Sitka,3
Alaska,Southeast Fairbanks,2
Alaska,Valdez-Cordova,3
Alaska,Yukon-Koyukuk,219
Arizona,Apache,34
Arizona,Cochise,163
Arizona,Coconino,189
Arizona,Gila,1061
Arizona,Graham,18
Arizona,Greenlee,2734
Arizona,La Paz,22
Arizona,Maricopa,780
Arizona,Mohave,264
Arizona,Navajo,792
Arizona,Pima,2124
Arizona,Pinal,3215
Arizona,Santa Cruz,11
Arizona,Yavapai,826
Arizona,Yuma,67
Arkansas,Ashley,0
Arkansas,Baxter,31
Arkansas,Benton,94
Arkansas,Boone,33
Arkansas,Bradley,6
Arkansas,Calhoun,35
Arkansas,Carroll,15
Arkansas,Clark,11
Arkansas,Cleburne,19
Arkansas,Conway,5
Arkansas,Craighead,17
Arkansas,Crawford,48
Arkansas,Crittenden,38
Arkansas,Cross,3
Arkansas,Desha,12
Arkansas,Faulkner,28
Arkansas,Franklin,22
Arkansas,Garland,125
Arkansas,Grant,12
Arkansas,Greene,14
Arkansas,Hempstead,4
Arkansas,Hot Spring,63
Arkansas,Howard,50
Arkansas,Independence,135
Arkansas,Izard,65
Arkansas,Jackson,2
Arkansas,Jefferson,4
Arkansas,Johnson,10
Arkansas,Lawrence,64
Arkansas,Lincoln,12
Arkansas,Little River,210
Arkansas,Logan,65
Arkansas,Madison,0
Arkansas,Marion,5
Arkansas,Miller,1
Arkansas,Montgomery,40
Arkansas,Nevada,0
Arkansas,Ouachita,44
Arkansas,Perry,11
Arkansas,Pike,52
Arkansas,Poinsett,27
Arkansas,Polk,67
Arkansas,Pope,41
Arkansas,Pulaski,484
Arkansas,Saline,430
Arkansas,Scott,2
Arkansas,Sebastian,116
Arkansas,Sevier,10
Arkansas,Sharp,3
Arkansas,St Francis,7
Arkansas,Stone,4
Arkansas,Union,0
Arkansas,Van Buren,11
Arkansas,Washington,59
Arkansas,White,23
California,Alameda,248
California,Amador,146
California,Butte,53
California,Calaveras,20
California,Colusa,5
California,Contra Costa,106
California,Del Norte,17
California,El Dorado,42
California,Fresno,99
California,Glenn,32
California,Humboldt,56
California,Imperial,412
California,Inyo,286
California,Kern,1256
California,Lake,142
California,Lassen,119
California,Los Angeles,474
California,Madera,32
California,Marin,35
California,Mariposa,6
California,Mendocino,45
California,Merced,31
California,Modoc,50
California,Mono,52
California,Monterey,189
California,Napa,51
California,Nevada,95
California,Orange,145
California,Placer,48
California,Plumas,17
California,Riverside,508
California,Sacramento,191
California,San Benito,101
California,San Bernardino,1625
California,San Diego,359
California,San Francisco,3
California,San Joaquin,143
California,San Luis Obispo,41
California,San Mateo,29
California,Santa Barbara,468
California,Santa Clara,209
California,Santa Cruz,197
California,Shasta,250
California,Sierra,87
California,Siskiyou,54
California,Solano,54
California,Sonoma,158
California,Stanislaus,37
California,Sutter,18
California,Tehama,38
California,Trinity,15
California,Tulare,74
California,Tuolumne,68
California,Ventura,144
California,Yolo,49
California,Yuba,106
Colorado,Adams,146
Colorado,Alamosa,60
Colorado,Arapahoe,45
Colorado,Archuleta,28
Colorado,Baca,11
Colorado,Boulder,140
Colorado,Chaffee,30
Colorado,Cheyenne,2
Colorado,Clear Creek,556
Colorado,Costilla,32
Colorado,Delta,134
Colorado,Denver,18
Colorado,Dolores,16
Colorado,Douglas,9
Colorado,Eagle,32
Colorado,El Paso,86
Colorado,Elbert,4
Colorado,Fremont,275
Colorado,Garfield,57
Colorado,Gilpin,0
Colorado,Grand,12
Colorado,Gunnison,389
Colorado,Hinsdale,3
Colorado,Huerfano,4
Colorado,Jackson,3
Colorado,Jefferson,257
Colorado,Kit Carson,4
Colorado,La Plata,80
Colorado,Lake,148
Colorado,Larimer,348
Colorado,Las Animas,12
Colorado,Lincoln,1
Colorado,Logan,4
Colorado,Mesa,100
Colorado,Moffat,476
Colorado,Montezuma,45
Colorado,Montrose,57
Colorado,Morgan,20
Colorado,Otero,18
Colorado,Ouray,19
Colorado,Park,23
Colorado,Phillips,1
Colorado,Prowers,62
Colorado,Pueblo,50
Colorado,Rio Blanco,143
Colorado,Rio Grande,7
Colorado,Routt,461
Colorado,San Juan,0
Colorado,San Miguel,8
Colorado,Sedgwick,2
Colorado,Summit,22
Colorado,Teller,248
Colorado,Weld,140
Connecticut,Fairfield,36
Connecticut,Hartford,127
Connecticut,Litchfield,171
Connecticut,Middlesex,13
Connecticut,New Haven,246
Connecticut,New London,32
Connecticut,Tolland,57
Connecticut,Windham,60
Delaware,Kent,21
Delaware,New Castle,70
Delaware,Sussex,11
Florida,Alachua,37
Florida,Brevard,18
Florida,Broward,31
Florida,Calhoun,4
Florida,Charlotte,67
Florida,Citrus,88
Florida,Clay,293
Florida,Collier,72
Florida,Columbia,28
Florida,Dade,986
Florida,De Soto,7
Florida,Dixie,5
Florida,Escambia,44
Florida,Gadsden,180
Florida,Gilchrist,5
Florida,Glades,40
Florida,Hamilton,330
Florida,Hardee,138
Florida,Hernando,612
Florida,Hillsborough,874
Florida,Indian River,9
Florida,Jackson,36
Florida,Lafayette,16
Florida,Lake,89
Florida,Lee,159
Florida,Leon,2
Florida,Levy,49
Florida,Manatee,72
Florida,Marion,185
Florida,Martin,3
Florida,Monroe,3
Florida,Okaloosa,3
Florida,Okeechobee,3
Florida,Orange,10
Florida,Palm Beach,79
Florida,Pasco,36
Florida,Polk,1506
Florida,Putnam,66
Florida,Santa Rosa,17
Florida,Sarasota,43
Florida,Seminole,2
Florida,St Lucie,29
Florida,Sumter,90
Florida,Suwannee,21
Florida,Taylor,85
Florida,Volusia,0
Florida,Walton,15
Florida,Washington,12
Georgia,Baldwin,6
Georgia,Banks,16
Georgia,Barrow,22
Georgia,Bartow,118
Georgia,Berrien,2
Georgia,Bibb,17
Georgia,Carroll,21
Georgia,Catoosa,17
Georgia,Chatham,56
Georgia,Cherokee,19
Georgia,Clarke,20
Georgia,Clay,47
Georgia,Clayton,42
Georgia,Cobb,67
Georgia,Columbia,31
Georgia,Cook,6
Georgia,Coweta,15
Georgia,Crawford,41
Georgia,Dawson,0
Georgia,De Kalb,84
Georgia,Decatur,355
Georgia,Dougherty,4
Georgia,Douglas,52
Georgia,Echols,6
Georgia,Effingham,17
Georgia,Elbert,101
Georgia,Evans,2
Georgia,Fayette,60
Georgia,Floyd,45
Georgia,Forsyth,77
