State,County,Number of Employees
Alabama,Autauga,11
Alabama,Baldwin,11
Alabama,Barbour,74
Alabama,Bibb,32
Alabama,Blount,57
Alabama,Calhoun,64
Alabama,Cherokee,11
Alabama,Chilton,31
Alabama,Clarke,12
Alabama,Coffee,2
Alabama,Colbert,96
Alabama,Conecuh,29
Alabama,Coosa,13
Alabama,Covington,2
Alabama,Crenshaw,5
Alabama,Cullman,148
Alabama,Dale,10
Alabama,Dallas,58
Alabama,De Kalb,12
Alabama,Elmore,35
Alabama,Escambia,62
Alabama,Etowah,27
Alabama,Fayette,354
Alabama,Franklin,29
Alabama,Geneva,1
Alabama,Greene,6
Alabama,Hale,4
Alabama,Henry,1
Alabama,Houston,6
Alabama,Jackson,31
Alabama,Jefferson,1544
Alabama,Lawrence,12
Alabama,Lee,28
Alabama,Lowndes,34
Alabama,Macon,74
Alabama,Madison,80
Alabama,Marengo,82
Alabama,Marion,79
Alabama,Marshall,46
Alabama,Mobile,174
Alabama,Monroe,9
Alabama,Montgomery,85
Alabama,Morgan,44
Alabama,Pickens,10
Alabama,Russell,31
Alabama,Shelby,649
Alabama,St Clair,186
Alabama,Sumter,57
Alabama,Talladega,410
Alabama,Tuscaloosa,1740
Alabama,Walker,1761
Alabama,Washington,7
Alabama,Winston,88
Alaska,2001,1
Alaska,2002,6
Alaska,2005,3
Alaska,2006,0
Alaska,2007,2
Alaska,2009,1
Alaska,2011,11
Alaska,2012,4
Alaska,2014,102
Alaska,Aleutians East,11
Alaska,Anchorage,65
Alaska,Bethel,10
Alaska,Fairbanks North Star,71
Alaska,Juneau,137
Alaska,Kenai Peninsula,3
Alaska,Ketchikan Gateway,15
Alaska,Matanuska-Susitna,227
Alaska,Nome,82
Alaska,Northwest Arctic,176
Alaska,Sitka,5
Alaska,Southeast Fairbanks,2
Alaska,Valdez-Cordova,2
Alaska,Yukon-Koyukuk,50
Arizona,Apache,27
Arizona,Cochise,217
Arizona,Coconino,87
Arizona,Gila,1370
Arizona,Graham,20
Arizona,Greenlee,2102
Arizona,La Paz,76
Arizona,Maricopa,664
Arizona,Mohave,160
Arizona,Navajo,965
Arizona,Pima,1792
Arizona,Pinal,3405
Arizona,Santa Cruz,15
Arizona,Yavapai,991
Arizona,Yuma,75
Arkansas,Ashley,2
Arkansas,Baxter,31
Arkansas,Benton,77
Arkansas,Boone,42
Arkansas,Bradley,6
Arkansas,Calhoun,32
Arkansas,Carroll,9
Arkansas,Clark,11
Arkansas,Cleburne,14
Arkansas,Conway,2
Arkansas,Craighead,15
Arkansas,Crawford,37
Arkansas,Crittenden,38
Arkansas,Cross,3
Arkansas,Desha,17
Arkansas,Faulkner,20
Arkansas,Franklin,9
Arkansas,Fulton,2
Arkansas,Garland,125
Arkansas,Grant,13
Arkansas,Greene,27
Arkansas,Hempstead,5
Arkansas,Hot Spring,50
Arkansas,Howard,75
Arkansas,Independence,136
Arkansas,Izard,59
Arkansas,Jackson,5
Arkansas,Jefferson,7
Arkansas,Johnson,16
Arkansas,Lawrence,47
Arkansas,Lincoln,29
Arkansas,Little River,204
Arkansas,Logan,45
Arkansas,Marion,29
Arkansas,Miller,1
Arkansas,Montgomery,47
Arkansas,Nevada,7
Arkansas,Ouachita,52
Arkansas,Perry,14
Arkansas,Pike,35
Arkansas,Poinsett,21
Arkansas,Polk,48
Arkansas,Pope,31
Arkansas,Pulaski,442
Arkansas,Saline,649
Arkansas,Scott,2
Arkansas,Sebastian,114
Arkansas,Sevier,23
Arkansas,Sharp,2
Arkansas,St Francis,6
Arkansas,Stone,4
Arkansas,Union,9
Arkansas,Van Buren,9
Arkansas,Washington,39
Arkansas,White,35
Arkansas,Yell,1
California,Alameda,271
California,Amador,155
California,Butte,35
California,Calaveras,149
California,Colusa,0
California,Contra Costa,100
California,Del Norte,22
California,El Dorado,38
California,Fresno,115
California,Glenn,31
California,Humboldt,71
California,Imperial,575
California,Inyo,99
California,Kern,1332
California,Lake,366
California,Lassen,168
California,Los Angeles,434
California,Madera,52
California,Marin,32
California,Mariposa,29
California,Mendocino,44
California,Merced,36
California,Modoc,17
California,Mono,28
California,Monterey,156
California,Napa,37
California,Nevada,58
California,Orange,152
California,Placer,67
California,Plumas,8
California,Riverside,595
California,Sacramento,165
California,San Benito,98
California,San Bernardino,1573
California,San Diego,449
California,San Joaquin,113
California,San Luis Obispo,44
California,San Mateo,35
California,Santa Barbara,528
California,Santa Clara,180
California,Santa Cruz,173
California,Shasta,239
California,Sierra,56
California,Siskiyou,47
California,Solano,45
California,Sonoma,185
California,Stanislaus,48
California,Sutter,13
California,Tehama,18
California,Trinity,4
California,Tulare,64
California,Tuolumne,288
California,Ventura,172
California,Yolo,50
California,Yuba,116
Colorado,Adams,177
Colorado,Alamosa,32
Colorado,Arapahoe,20
Colorado,Archuleta,19
Colorado,Baca,9
Colorado,Bent,2
Colorado,Boulder,182
Colorado,Chaffee,47
Colorado,Cheyenne,5
Colorado,Clear Creek,490
Colorado,Conejos,20
Colorado,Costilla,127
Colorado,Delta,138
Colorado,Denver,6
Colorado,Dolores,4
Colorado,Douglas,31
Colorado,Eagle,25
Colorado,El Paso,108
Colorado,Fremont,266
Colorado,Garfield,44
Colorado,Gilpin,9
Colorado,Grand,12
Colorado,Gunnison,309
Colorado,Hinsdale,3
Colorado,Huerfano,7
Colorado,Jackson,15
Colorado,Jefferson,160
Colorado,Kit Carson,13
Colorado,La Plata,69
Colorado,Lake,179
Colorado,Larimer,423
Colorado,Las Animas,138
Colorado,Lincoln,3
Colorado,Logan,10
Colorado,Mesa,114
Colorado,Mineral,2
Colorado,Moffat,573
Colorado,Montezuma,39
Colorado,Montrose,85
Colorado,Morgan,26
Colorado,Otero,6
Colorado,Ouray,36
Colorado,Park,11
Colorado,Phillips,6
Colorado,Pitkin,0
Colorado,Prowers,17
Colorado,Pueblo,68
Colorado,Rio Blanco,250
Colorado,Rio Grande,7
Colorado,Routt,348
Colorado,Saguache,2
Colorado,San Juan,15
Colorado,San Miguel,9
Colorado,Summit,25
Colorado,Teller,89
Colorado,Weld,115
Colorado,Yuma,0
Connecticut,Fairfield,37
Connecticut,Hartford,139
Connecticut,Litchfield,162
Connecticut,Middlesex,21
Connecticut,New Haven,178
Connecticut,New London,47
Connecticut,Tolland,40
Connecticut,Windham,48
Delaware,Kent,47
Delaware,New Castle,57
Delaware,Sussex,12
Florida,Alachua,35
Florida,Bay,0
Florida,Brevard,17
Florida,Broward,113
Florida,Calhoun,6
Florida,Charlotte,49
Florida,Citrus,107
Florida,Clay,296
Florida,Collier,85
Florida,Columbia,21
Florida,Dade,764
Florida,De Soto,6
Florida,Dixie,3
Florida,Escambia,37
Florida,Gadsden,186
Florida,Glades,30
Florida,Hamilton,324
Florida,Hardee,55
Florida,Hendry,2
Florida,Hernando,469
Florida,Hillsborough,1024
Florida,Indian River,6
Florida,Jackson,39
Florida,Lafayette,3
Florida,Lake,81
Florida,Lee,123
Florida,Leon,8
Florida,Levy,59
Florida,Manatee,21
Florida,Marion,258
Florida,Martin,3
Florida,Monroe,22
Florida,Okaloosa,3
Florida,Okeechobee,18
Florida,Orange,17
Florida,Palm Beach,53
Florida,Pasco,54
Florida,Polk,1627
Florida,Putnam,60
Florida,Santa Rosa,31
Florida,Sarasota,45
Florida,Seminole,13
Florida,St Lucie,35
Florida,Sumter,78
Florida,Suwannee,26
Florida,Taylor,87
Florida,Volusia,2
Florida,Walton,13
Florida,Washington,10
Georgia,Baldwin,6
Georgia,Banks,8
Georgia,Barrow,21
Georgia,Bartow,108
Georgia,Berrien,2
Georgia,Bibb,21
Georgia,Brantley,1
