State,County,Number of Employees
Alabama,Autauga,32
Alabama,Baldwin,9
Alabama,Barbour,71
Alabama,Bibb,58
Alabama,Blount,82
Alabama,Calhoun,31
Alabama,Cherokee,1
Alabama,Chilton,24
Alabama,Clarke,38
Alabama,Colbert,122
Alabama,Coosa,14
Alabama,Covington,18
Alabama,Cullman,54
Alabama,Dale,4
Alabama,Dallas,30
Alabama,De Kalb,14
Alabama,Elmore,48
Alabama,Escambia,46
Alabama,Etowah,35
Alabama,Fayette,361
Alabama,Franklin,91
Alabama,Geneva,4
Alabama,Hale,7
Alabama,Jackson,76
Alabama,Jefferson,1382
Alabama,Lamar,0
Alabama,Lawrence,10
Alabama,Lee,62
Alabama,Limestone,11
Alabama,Lowndes,34
Alabama,Macon,32
Alabama,Madison,70
Alabama,Marengo,79
Alabama,Marion,71
Alabama,Marshall,21
Alabama,Mobile,178
Alabama,Monroe,21
Alabama,Montgomery,54
Alabama,Morgan,44
Alabama,Pickens,2
Alabama,Randolph,14
Alabama,Russell,16
Alabama,Shelby,969
Alabama,St Clair,170
Alabama,Sumter,52
Alabama,Talladega,339
Alabama,Tuscaloosa,1724
Alabama,Walker,598
Alabama,Winston,80
Alaska,Aleutians East,0
Alaska,Aleutians West,12
Alaska,Anchorage,101
Alaska,Bethel,42
Alaska,Bristol Bay,0
Alaska,Denali,12
Alaska,Dillingham,4
Alaska,Fairbanks North Star,577
Alaska,Haines,8
Alaska,Juneau,355
Alaska,Kenai Peninsula,23
Alaska,Ketchikan Gateway,33
Alaska,Kodiak Island,75
Alaska,Matanuska-Susitna,63
Alaska,Nome,69
Alaska,North Slope,0
Alaska,Northwest Arctic,195
Alaska,Sitka,10
Alaska,Skagway-Hoonah-Angoon,9
Alaska,Southeast Fairbanks,279
Alaska,Valdez-Cordova,15
Alaska,Wade Hampton,7
Alaska,Wrangell-Petersburg,0
Alaska,Yukon-Koyukuk,147
Arizona,Apache,88
Arizona,Cochise,176
Arizona,Coconino,188
Arizona,Gila,1346
Arizona,Graham,449
Arizona,Greenlee,1830
Arizona,La Paz,26
Arizona,Maricopa,653
Arizona,Mohave,413
Arizona,Navajo,518
Arizona,Pima,1905
Arizona,Pinal,315
Arizona,Santa Cruz,29
Arizona,Yavapai,1124
Arizona,Yuma,88
Arkansas,Arkansas,0
Arkansas,Baxter,41
Arkansas,Benton,74
Arkansas,Boone,14
Arkansas,Bradley,3
Arkansas,Calhoun,10
Arkansas,Carroll,14
Arkansas,Chicot,0
Arkansas,Cleburne,18
Arkansas,Conway,46
Arkansas,Craighead,13
Arkansas,Crawford,49
Arkansas,Crittenden,11
Arkansas,Cross,13
Arkansas,Faulkner,18
Arkansas,Franklin,30
Arkansas,Fulton,4
Arkansas,Garland,86
Arkansas,Grant,28
Arkansas,Greene,7
Arkansas,Hot Spring,58
Arkansas,Howard,33
Arkansas,Independence,149
Arkansas,Izard,59
Arkansas,Jackson,15
Arkansas,Jefferson,2
Arkansas,Johnson,12
Arkansas,Lawrence,37
Arkansas,Lincoln,2
Arkansas,Little River,161
Arkansas,Logan,70
Arkansas,Lonoke,10
Arkansas,Marion,2
Arkansas,Miller,16
Arkansas,Montgomery,41
Arkansas,Ouachita,32
Arkansas,Perry,10
Arkansas,Pike,25
Arkansas,Poinsett,12
Arkansas,Polk,44
Arkansas,Pope,38
Arkansas,Pulaski,368
Arkansas,Randolph,5
Arkansas,Saline,241
Arkansas,Scott,2
Arkansas,Searcy,2
Arkansas,Sebastian,191
Arkansas,Sevier,31
Arkansas,Sharp,4
Arkansas,Stone,9
Arkansas,Van Buren,19
Arkansas,Washington,70
Arkansas,White,46
California,Alameda,106
California,Alpine,3
California,Amador,126
California,Butte,50
California,Calaveras,20
California,Colusa,2
California,Contra Costa,54
California,Del Norte,11
California,El Dorado,22
California,Fresno,91
California,Glenn,26
California,Humboldt,55
California,Imperial,271
California,Inyo,134
California,Kern,1206
California,Lake,36
California,Lassen,23
California,Los Angeles,312
California,Madera,9
California,Marin,25
California,Mariposa,24
California,Mendocino,39
California,Merced,50
California,Modoc,27
California,Mono,9
California,Monterey,102
California,Napa,67
California,Nevada,32
California,Orange,46
California,Placer,26
California,Plumas,24
California,Riverside,536
California,Sacramento,103
California,San Benito,100
California,San Bernardino,1163
California,San Diego,210
California,San Francisco,2
California,San Joaquin,120
California,San Luis Obispo,54
California,San Mateo,24
California,Santa Barbara,171
California,Santa Clara,159
California,Santa Cruz,53
California,Shasta,186
California,Sierra,2
California,Siskiyou,17
California,Solano,60
California,Sonoma,98
California,Stanislaus,32
California,Sutter,12
California,Tehama,26
California,Trinity,8
California,Tulare,65
California,Tuolumne,57
California,Ventura,149
California,Yolo,72
California,Yuba,120
Colorado,Adams,75
Colorado,Alamosa,24
Colorado,Arapahoe,3
Colorado,Archuleta,17
Colorado,Baca,10
Colorado,Bent,4
Colorado,Boulder,132
Colorado,Chaffee,33
Colorado,Clear Creek,495
Colorado,Conejos,20
Colorado,Crowley,0
Colorado,Custer,8
Colorado,Delta,316
Colorado,Denver,1
Colorado,Dolores,2
Colorado,Douglas,5
Colorado,Eagle,23
Colorado,El Paso,69
Colorado,Elbert,1
Colorado,Fremont,247
Colorado,Garfield,65
Colorado,Gilpin,6
Colorado,Grand,19
Colorado,Gunnison,719
Colorado,Hinsdale,4
Colorado,Huerfano,4
Colorado,Jackson,5
Colorado,Jefferson,107
Colorado,La Plata,124
Colorado,Lake,21
Colorado,Larimer,280
Colorado,Las Animas,38
Colorado,Logan,2
Colorado,Mesa,85
Colorado,Moffat,463
Colorado,Montezuma,51
Colorado,Montrose,66
Colorado,Morgan,6
Colorado,Otero,7
Colorado,Ouray,15
Colorado,Park,15
Colorado,Prowers,37
Colorado,Pueblo,129
Colorado,Rio Blanco,194
Colorado,Rio Grande,5
Colorado,Routt,569
Colorado,Saguache,4
Colorado,San Juan,0
Colorado,San Miguel,4
Colorado,Sedgwick,0
Colorado,Summit,19
Colorado,Teller,314
Colorado,Weld,187
Connecticut,Fairfield,40
Connecticut,Hartford,144
