State,County,Number of Employees
Alabama,Autauga,82
Alabama,Baldwin,13
Alabama,Barbour,133
Alabama,Bibb,52
Alabama,Blount,87
Alabama,Calhoun,23
Alabama,Cherokee,3
Alabama,Chilton,0
Alabama,Clarke,47
Alabama,Colbert,88
Alabama,Conecuh,19
Alabama,Coosa,7
Alabama,Covington,24
Alabama,Cullman,0
Alabama,Dale,4
Alabama,Dallas,28
Alabama,De Kalb,10
Alabama,Elmore,71
Alabama,Escambia,52
Alabama,Etowah,26
Alabama,Fayette,8
Alabama,Franklin,93
Alabama,Geneva,3
Alabama,Hale,5
Alabama,Jackson,24
Alabama,Jefferson,1298
Alabama,Lawrence,32
Alabama,Lee,42
Alabama,Limestone,10
Alabama,Lowndes,15
Alabama,Macon,33
Alabama,Madison,46
Alabama,Marengo,77
Alabama,Marion,12
Alabama,Marshall,41
Alabama,Mobile,96
Alabama,Monroe,14
Alabama,Montgomery,36
Alabama,Morgan,39
Alabama,Pickens,0
Alabama,Randolph,19
Alabama,Russell,22
Alabama,Shelby,755
Alabama,St Clair,173
Alabama,Sumter,39
Alabama,Talladega,312
Alabama,Tuscaloosa,267
Alabama,Walker,659
Alabama,Washington,2
Alabama,Winston,22
Alaska,Aleutians East,7
Alaska,Aleutians West,13
Alaska,Anchorage,116
Alaska,Bethel,13
Alaska,Denali,106
Alaska,Dillingham,0
Alaska,Fairbanks North Star,730
Alaska,Haines,6
Alaska,Juneau,685
Alaska,Kenai Peninsula,45
Alaska,Ketchikan Gateway,19
Alaska,Kodiak Island,32
Alaska,Matanuska-Susitna,111
Alaska,Nome,42
Alaska,North Slope,0
Alaska,Northwest Arctic,243
Alaska,Petersburg Census Area,0
Alaska,Prince of Wales-Hyder Census Area,0
Alaska,Sitka,4
Alaska,Skagway Municipality,4
Alaska,Southeast Fairbanks,300
Alaska,Valdez-Cordova,50
Alaska,Wade Hampton,5
Alaska,Yukon-Koyukuk,84
American Samoa,Tutuila,0
American Samoa,Unknown,15
Arizona,Apache,71
Arizona,Cochise,85
Arizona,Coconino,218
Arizona,Gila,1475
Arizona,Graham,588
Arizona,Greenlee,2753
Arizona,La Paz,22
Arizona,Maricopa,560
Arizona,Mohave,113
Arizona,Navajo,450
Arizona,Pima,1627
Arizona,Pinal,366
Arizona,Santa Cruz,15
Arizona,Yavapai,1064
Arizona,Yuma,62
Arkansas,Baxter,33
Arkansas,Benton,49
Arkansas,Boone,9
Arkansas,Bradley,5
Arkansas,Calhoun,13
Arkansas,Carroll,14
Arkansas,Cleburne,4
Arkansas,Conway,15
Arkansas,Craighead,16
Arkansas,Crawford,33
Arkansas,Cross,8
Arkansas,Faulkner,21
Arkansas,Franklin,23
Arkansas,Fulton,7
Arkansas,Garland,70
Arkansas,Grant,37
Arkansas,Greene,11
Arkansas,Hot Spring,57
Arkansas,Howard,93
Arkansas,Independence,160
Arkansas,Izard,114
Arkansas,Jackson,0
Arkansas,Johnson,98
Arkansas,Lawrence,27
Arkansas,Lincoln,3
Arkansas,Little River,145
Arkansas,Logan,60
Arkansas,Lonoke,18
Arkansas,Marion,4
Arkansas,Miller,36
Arkansas,Montgomery,23
Arkansas,Newton,2
Arkansas,Ouachita,6
Arkansas,Perry,10
Arkansas,Pike,15
Arkansas,Poinsett,19
Arkansas,Polk,37
Arkansas,Pope,46
Arkansas,Pulaski,316
Arkansas,Randolph,11
Arkansas,Saline,244
Arkansas,Scott,2
Arkansas,Sebastian,101
Arkansas,Sevier,12
Arkansas,Sharp,4
Arkansas,St Francis,0
Arkansas,Stone,11
Arkansas,Van Buren,6
Arkansas,Washington,68
Arkansas,White,36
California,Alameda,117
California,Alpine,2
California,Amador,118
California,Butte,59
California,Calaveras,18
California,Colusa,1
California,Contra Costa,66
California,Del Norte,3
California,El Dorado,17
California,Fresno,105
California,Glenn,24
California,Humboldt,65
California,Imperial,393
California,Inyo,60
California,Kern,1292
California,Lake,20
California,Lassen,34
California,Los Angeles,339
California,Madera,18
California,Marin,15
California,Mariposa,11
California,Mendocino,27
California,Merced,33
California,Modoc,18
California,Mono,7
California,Monterey,86
California,Napa,44
California,Nevada,22
California,Orange,38
California,Placer,15
California,Plumas,25
California,Riverside,527
California,Sacramento,113
California,San Benito,123
California,San Bernardino,1025
California,San Diego,217
California,San Francisco,4
California,San Joaquin,105
California,San Luis Obispo,63
California,San Mateo,26
California,Santa Barbara,191
California,Santa Clara,147
California,Santa Cruz,20
California,Shasta,197
California,Sierra,13
California,Siskiyou,16
California,Solano,69
California,Sonoma,80
California,Stanislaus,42
California,Sutter,9
California,Tehama,29
California,Trinity,9
California,Tulare,70
California,Tuolumne,54
California,Ventura,146
California,Yolo,46
California,Yuba,66
Colorado,Adams,18
Colorado,Alamosa,10
Colorado,Arapahoe,3
Colorado,Archuleta,9
Colorado,Baca,12
Colorado,Bent,2
Colorado,Boulder,125
Colorado,Chaffee,48
Colorado,Clear Creek,295
Colorado,Conejos,14
Colorado,Crowley,1
Colorado,Custer,4
Colorado,Delta,71
Colorado,Denver,14
Colorado,Dolores,2
Colorado,Douglas,13
Colorado,Eagle,12
Colorado,El Paso,67
Colorado,Elbert,1
Colorado,Fremont,266
Colorado,Garfield,43
Colorado,Gilpin,0
Colorado,Grand,20
Colorado,Gunnison,274
Colorado,Hinsdale,5
Colorado,Huerfano,8
Colorado,Jackson,1
Colorado,Jefferson,118
Colorado,Kit Carson,2
Colorado,La Plata,118
Colorado,Lake,300
Colorado,Larimer,243
Colorado,Las Animas,17
Colorado,Logan,11
Colorado,Mesa,97
Colorado,Moffat,356
Colorado,Montezuma,12
Colorado,Montrose,65
Colorado,Morgan,2
Colorado,Otero,4
Colorado,Ouray,21
Colorado,Park,92
Colorado,Pitkin,2
Colorado,Prowers,12
Colorado,Pueblo,122
Colorado,Rio Blanco,162
Colorado,Rio Grande,6
Colorado,Routt,349
Colorado,Saguache,2
Colorado,San Miguel,26
Colorado,Summit,22
Colorado,Teller,526
Colorado,Weld,307
Connecticut,Fairfield,47
Connecticut,Hartford,125
Connecticut,Litchfield,104
Connecticut,Middlesex,28
Connecticut,New Haven,164
Connecticut,New London,34
Connecticut,Tolland,57
Connecticut,Windham,74
Delaware,Kent,14
Delaware,New Castle,35
Delaware,Sussex,19
Florida,Alachua,141
Florida,Bay,3
Florida,Brevard,4
Florida,Broward,4
Florida,Calhoun,2
Florida,Charlotte,84
Florida,Citrus,55
Florida,Clay,83
Florida,Collier,33
Florida,Dixie,3
Florida,Escambia,10
Florida,Gadsden,97
Florida,Gilchrist,2
Florida,Glades,46
Florida,Gulf,4
Florida,Hamilton,206
Florida,Hardee,174
Florida,Hernando,275
Florida,Hillsborough,37
Florida,Indian River,18
Florida,Jackson,58
Florida,Lafayette,10
Florida,Lake,66
Florida,Lee,211
Florida,Leon,1
Florida,Levy,10
Florida,Liberty,4
Florida,Manatee,115
Florida,Marion,84
Florida,Martin,39
Florida,Miami-Dade,746
Florida,Okeechobee,3
Florida,Orange,8
Florida,Osceola,0
Florida,Palm Beach,71
Florida,Pasco,27
Florida,Polk,759
Florida,Putnam,53
Florida,Santa Rosa,27
Florida,Sarasota,13
Florida,St Johns,13
Florida,St Lucie,20
Florida,Sumter,171
Florida,Suwannee,99
Florida,Taylor,37
Florida,Walton,29
Florida,Washington,14
Georgia,Baldwin,93
Georgia,Barrow,4
Georgia,Bartow,62
Georgia,Berrien,1
Georgia,Bibb,13
Georgia,Brantley,53
Georgia,Carroll,8
Georgia,Catoosa,6
Georgia,Charlton,5
Georgia,Chattooga,2
Georgia,Cherokee,30
Georgia,Clarke,10
Georgia,Clayton,54
Georgia,Cobb,34
Georgia,Columbia,34
Georgia,Cook,5
Georgia,Coweta,15
Georgia,Crawford,37
Georgia,De Kalb,45
Georgia,Decatur,16
Georgia,Dougherty,1
Georgia,Douglas,37
Georgia,Early,3
Georgia,Echols,6
Georgia,Effingham,18
Georgia,Elbert,72
Georgia,Fayette,26
Georgia,Floyd,8
Georgia,Forsyth,46
Georgia,Fulton,52
Georgia,Gilmer,58
Georgia,Glascock,129
Georgia,Glynn,7
Georgia,Gordon,4
Georgia,Greene,12
Georgia,Gwinnett,45
Georgia,Habersham,16
Georgia,Hall,38
Georgia,Hancock,24
Georgia,Hart,44
Georgia,Henry,25
Georgia,Houston,108
Georgia,Jackson,15
Georgia,Jefferson,212
Georgia,Jones,106
Georgia,Lanier,8
Georgia,Lee,2
Georgia,Liberty,13
Georgia,Long,5
Georgia,Lumpkin,12
Georgia,Macon,14
Georgia,Madison,10
Georgia,Marion,43
Georgia,McDuffie,5
Georgia,Monroe,45
Georgia,Montgomery,3
Georgia,Morgan,5
Georgia,Murray,114
Georgia,Muscogee,40
Georgia,Newton,8
Georgia,Oglethorpe,138
Georgia,Paulding,15
Georgia,Peach,4
Georgia,Pickens,245
Georgia,Pierce,23
Georgia,Polk,17
Georgia,Rabun,8
Georgia,Richmond,83
Georgia,Rockdale,2
Georgia,Spalding,10
Georgia,Stephens,12
Georgia,Sumter,118
Georgia,Talbot,77
Georgia,Taylor,24
Georgia,Thomas,249
Georgia,Toombs,4
Georgia,Towns,10
Georgia,Troup,4
Georgia,Twiggs,104
Georgia,Union,9
Georgia,Walton,2
Georgia,Warren,40
Georgia,Washington,512
Georgia,White,5
Georgia,Whitfield,23
Georgia,Wilkes,14
Georgia,Wilkinson,657
Guam,Cocos Island/Guam,0
Hawaii,Hawaii,101
Hawaii,Honolulu,157
Hawaii,Kauai,23
Hawaii,Maui,44
Idaho,Ada,130
Idaho,Adams,7
Idaho,Bannock,19
Idaho,Bear Lake,3
Idaho,Benewah,26
Idaho,Bingham,28
Idaho,Blaine,13
Idaho,Boise,12
Idaho,Bonner,52
Idaho,Bonneville,35
Idaho,Boundary,7
Idaho,Canyon,50
Idaho,Caribou,376
Idaho,Cassia,173
Idaho,Clark,13
Idaho,Clearwater,17
Idaho,Custer,44
Idaho,Elmore,11
Idaho,Franklin,34
Idaho,Fremont,8
Idaho,Gem,16
Idaho,Gooding,2
Idaho,Idaho,57
Idaho,Jefferson,16
Idaho,Jerome,0
Idaho,Kootenai,37
Idaho,Latah,8
Idaho,Lemhi,8
Idaho,Madison,15
Idaho,Minidoka,20
Idaho,Nez Perce,110
Idaho,Oneida,45
Idaho,Owyhee,3
Idaho,Payette,16
Idaho,Power,10
Idaho,Shoshone,547
Idaho,Teton,5
Idaho,Twin Falls,5
Idaho,Valley,16
Idaho,Washington,3
Illinois,Adams,143
Illinois,Alexander,43
Illinois,Bond,6
Illinois,Boone,11
Illinois,Bureau,7
Illinois,Carroll,6
Illinois,Champaign,6
Illinois,Christian,18
Illinois,Clark,35
Illinois,Clinton,5
Illinois,Coles,16
Illinois,Cook,210
Illinois,Crawford,2
Illinois,Cumberland,12
Illinois,De Kalb,17
Illinois,Douglas,17
Illinois,Fayette,5
Illinois,Ford,0
Illinois,Franklin,400
Illinois,Fulton,6
Illinois,Gallatin,36
Illinois,Greene,7
Illinois,Grundy,17
Illinois,Hamilton,226
Illinois,Hancock,17
Illinois,Hardin,83
Illinois,Henderson,0
Illinois,Henry,18
Illinois,Iroquois,6
Illinois,Jackson,18
Illinois,Jefferson,0
Illinois,Jersey,10
Illinois,Jo Daviess,26
Illinois,Johnson,26
Illinois,Kane,97
Illinois,Kankakee,40
Illinois,Kendall,19
Illinois,La Salle,563
Illinois,Lake,29
Illinois,Lawrence,7
Illinois,Lee,104
Illinois,Livingston,42
Illinois,Macon,2
Illinois,Macoupin,134
Illinois,Madison,59
Illinois,Marshall,17
Illinois,Mason,3
Illinois,Massac,74
Illinois,McDonough,13
Illinois,McHenry,81
Illinois,McLean,20
Illinois,Menard,18
Illinois,Monroe,13
Illinois,Montgomery,45
Illinois,Ogle,74
Illinois,Peoria,12
Illinois,Perry,293
Illinois,Pike,30
Illinois,Pulaski,24
Illinois,Putnam,12
Illinois,Randolph,232
Illinois,Rock Island,46
Illinois,Saline,592
Illinois,Sangamon,279
Illinois,Scott,12
Illinois,Shelby,8
Illinois,St Clair,93
Illinois,Stephenson,11
Illinois,Tazewell,26
Illinois,Union,32
Illinois,Vermilion,23
Illinois,Wabash,32
Illinois,Warren,9
Illinois,Washington,438
Illinois,White,214
Illinois,Whiteside,10
Illinois,Will,193
Illinois,Williamson,206
Illinois,Winnebago,35
Illinois,Woodford,10
Indiana,Adams,21
Indiana,Allen,71
Indiana,Bartholomew,18
Indiana,Blackford,5
Indiana,Boone,8
Indiana,Carroll,24
Indiana,Cass,109
Indiana,Clark,263
Indiana,Clay,42
Indiana,Crawford,173
Indiana,Daviess,107
Indiana,De Kalb,22
Indiana,Dearborn,5
Indiana,Decatur,16
Indiana,Delaware,20
Indiana,Dubois,147
Indiana,Elkhart,24
Indiana,Fayette,5
Indiana,Floyd,6
Indiana,Fountain,2
Indiana,Franklin,15
Indiana,Gibson,823
Indiana,Grant,38
Indiana,Greene,25
Indiana,Hamilton,127
Indiana,Harrison,73
Indiana,Henry,9
Indiana,Howard,12
Indiana,Huntington,20
Indiana,Jackson,5
Indiana,Jasper,3
Indiana,Jay,12
Indiana,Jennings,11
Indiana,Johnson,15
Indiana,Knox,716
Indiana,Kosciusko,16
Indiana,La Grange,2
Indiana,La Porte,9
Indiana,Lake,91
Indiana,Lawrence,203
Indiana,Madison,31
Indiana,Marion,78
Indiana,Marshall,10
Indiana,Martin,48
Indiana,Miami,19
Indiana,Monroe,191
Indiana,Montgomery,4
Indiana,Morgan,59
Indiana,Newton,16
Indiana,Noble,16
Indiana,Orange,32
Indiana,Owen,0
Indiana,Parke,8
Indiana,Pike,106
Indiana,Porter,12
Indiana,Posey,8
Indiana,Pulaski,22
Indiana,Putnam,214
Indiana,Randolph,5
Indiana,Ripley,32
Indiana,Rush,6
Indiana,Scott,9
Indiana,Shelby,37
Indiana,Spencer,19
Indiana,St Joseph,9
Indiana,Steuben,19
Indiana,Sullivan,588
Indiana,Switzerland,33
Indiana,Tippecanoe,18
Indiana,Vanderburgh,18
Indiana,Vermillion,11
Indiana,Vigo,24
Indiana,Wabash,22
Indiana,Warren,12
Indiana,Warrick,252
Indiana,Wayne,18
Indiana,Wells,12
Indiana,White,172
Iowa,Adair,138
Iowa,Allamakee,8
Iowa,Appanoose,32
Iowa,Benton,45
Iowa,Black Hawk,44
Iowa,Boone,2
Iowa,Bremer,3
Iowa,Buchanan,3
Iowa,Buena Vista,1
Iowa,Butler,4
Iowa,Calhoun,2
Iowa,Carroll,6
Iowa,Cass,4
Iowa,Cerro Gordo,107
Iowa,Cherokee,2
Iowa,Chickasaw,23
Iowa,Clay,11
Iowa,Clayton,158
Iowa,Clinton,50
Iowa,Crawford,0
Iowa,Dallas,12
Iowa,Davis,3
Iowa,Delaware,15
Iowa,Des Moines,113
Iowa,Dickinson,24
Iowa,Dubuque,18
Iowa,Emmet,6
Iowa,Fayette,49
Iowa,Floyd,31
Iowa,Greene,5
Iowa,Hamilton,7
Iowa,Hardin,96
Iowa,Henry,4
Iowa,Humboldt,5
Iowa,Iowa,6
Iowa,Jackson,10
Iowa,Jasper,23
Iowa,Jefferson,8
Iowa,Johnson,59
Iowa,Jones,32
Iowa,Keokuk,3
Iowa,Kossuth,16
Iowa,Lee,16
Iowa,Linn,51
Iowa,Louisa,32
Iowa,Lyon,2
Iowa,Madison,5
Iowa,Marion,51
Iowa,Marshall,5
Iowa,Mitchell,40
Iowa,Montgomery,8
Iowa,Muscatine,33
Iowa,Osceola,13
Iowa,Palo Alto,3
Iowa,Plymouth,19
Iowa,Pocahontas,37
Iowa,Polk,134
Iowa,Pottawattamie,26
Iowa,Poweshiek,13
Iowa,Sac,14
Iowa,Scott,212
Iowa,Sioux,33
Iowa,Story,94
Iowa,Tama,2
Iowa,Van Buren,49
Iowa,Wapello,36
Iowa,Washington,9
Iowa,Webster,133
Iowa,Winneshiek,114
Iowa,Woodbury,3
Iowa,Worth,4
Iowa,Wright,9
Kansas,Allen,146
Kansas,Anderson,9
Kansas,Atchison,11
Kansas,Barber,17
Kansas,Barton,12
Kansas,Bourbon,12
Kansas,Butler,43
Kansas,Chase,30
Kansas,Cherokee,1
Kansas,Cloud,10
Kansas,Cowley,44
Kansas,Crawford,42
Kansas,Dickinson,17
Kansas,Doniphan,7
Kansas,Douglas,33
Kansas,Edwards,6
Kansas,Elk,10
Kansas,Ellis,5
Kansas,Ellsworth,50
Kansas,Finney,10
Kansas,Ford,24
Kansas,Franklin,26
Kansas,Geary,2
Kansas,Grant,3
Kansas,Gray,2
Kansas,Hamilton,14
Kansas,Jefferson,54
Kansas,Johnson,97
Kansas,Kearny,24
Kansas,Kingman,1
Kansas,Kiowa,3
Kansas,Labette,21
Kansas,Lincoln,34
Kansas,Linn,47
Kansas,Lyon,12
Kansas,Marion,10
Kansas,Marshall,57
Kansas,McPherson,2
Kansas,Miami,13
Kansas,Montgomery,16
Kansas,Morris,1
Kansas,Nemaha,1
Kansas,Neosho,113
Kansas,Norton,4
Kansas,Osage,23
Kansas,Pawnee,4
Kansas,Phillips,4
Kansas,Pottawatomie,20
Kansas,Pratt,6
Kansas,Reno,57
Kansas,Rice,66
Kansas,Riley,37
Kansas,Saline,2
Kansas,Sedgwick,30
Kansas,Shawnee,7
Kansas,Sherman,2
Kansas,Smith,2
Kansas,Stafford,2
Kansas,Stanton,3
Kansas,Sumner,8
Kansas,Thomas,4
Kansas,Trego,1
Kansas,Wabaunsee,34
Kansas,Washington,7
Kansas,Wilson,32
Kansas,Woodson,2
Kansas,Wyandotte,33
Kentucky,Adair,29
Kentucky,Allen,8
Kentucky,Anderson,16
Kentucky,Barren,11
Kentucky,Bell,305
Kentucky,Boone,12
Kentucky,Bourbon,13
Kentucky,Boyd,24
Kentucky,Boyle,6
Kentucky,Breathitt,32
Kentucky,Breckinridge,22
Kentucky,Bullitt,81
Kentucky,Butler,7
Kentucky,Caldwell,52
Kentucky,Calloway,3
Kentucky,Carlisle,1
Kentucky,Carroll,12
Kentucky,Carter,54
Kentucky,Casey,2
Kentucky,Christian,30
Kentucky,Clay,9
Kentucky,Clinton,22
Kentucky,Crittenden,28
Kentucky,Cumberland,4
Kentucky,Daviess,27
Kentucky,Elliott,0
Kentucky,Estill,17
Kentucky,Fayette,33
Kentucky,Fleming,9
Kentucky,Floyd,215
Kentucky,Franklin,27
Kentucky,Gallatin,80
Kentucky,Garrard,8
Kentucky,Graves,19
Kentucky,Grayson,17
Kentucky,Green,11
Kentucky,Hancock,19
Kentucky,Hardin,33
Kentucky,Harlan,873
Kentucky,Hart,11
Kentucky,Henderson,11
Kentucky,Henry,20
Kentucky,Hickman,1
Kentucky,Hopkins,552
Kentucky,Jackson,37
Kentucky,Jefferson,223
Kentucky,Jessamine,20
Kentucky,Johnson,71
Kentucky,Knott,137
Kentucky,Knox,113
Kentucky,Laurel,6
Kentucky,Lawrence,47
Kentucky,Lee,0
Kentucky,Leslie,188
Kentucky,Letcher,103
Kentucky,Lewis,5
Kentucky,Livingston,387
Kentucky,Logan,14
Kentucky,Lyon,4
Kentucky,Madison,42
Kentucky,Magoffin,39
Kentucky,Marion,16
Kentucky,Marshall,39
Kentucky,Martin,228
Kentucky,Mason,138
Kentucky,McCreary,1
Kentucky,McLean,177
Kentucky,Meade,96
Kentucky,Menifee,15
Kentucky,Mercer,12
Kentucky,Monroe,3
Kentucky,Montgomery,12
Kentucky,Morgan,12
Kentucky,Muhlenberg,404
Kentucky,Nelson,25
Kentucky,Ohio,553
Kentucky,Oldham,23
Kentucky,Owsley,0
Kentucky,Pendleton,196
Kentucky,Perry,576
Kentucky,Pike,1025
Kentucky,Powell,20
Kentucky,Pulaski,42
Kentucky,Rockcastle,27
Kentucky,Scott,28
Kentucky,Simpson,19
Kentucky,Todd,1
Kentucky,Trigg,15
Kentucky,Union,625
Kentucky,Warren,24
Kentucky,Wayne,7
Kentucky,Webster,362
Kentucky,Whitley,152
Kentucky,Wolfe,0
Louisiana,Allen,10
Louisiana,Ascension,241
Louisiana,Assumption,15
Louisiana,Beauregard,17
Louisiana,Bossier,0
Louisiana,Calcasieu,64
Louisiana,De Soto,268
Louisiana,East Baton Rouge,8
Louisiana,East Feliciana,53
Louisiana,Grant,3
Louisiana,Iberia,493
Louisiana,Jefferson,49
Louisiana,Jefferson Davis,11
Louisiana,La Salle,7
Louisiana,Lafayette,1
Louisiana,Lafourche,9
Louisiana,Livingston,59
Louisiana,Morehouse,5
Louisiana,Natchitoches,28
Louisiana,Orleans,3
Louisiana,Ouachita,6
Louisiana,Plaquemines,2
Louisiana,Pointe Coupee,52
Louisiana,Rapides,18
Louisiana,St Bernard,11
Louisiana,St Charles,11
Louisiana,St Helena,89
Louisiana,St James,391
Louisiana,St John the Baptist,1
Louisiana,St Martin,8
Louisiana,St Mary,8
Louisiana,St Tammany,45
Louisiana,Tangipahoa,59
Louisiana,Vermilion,7
Louisiana,Vernon,9
Louisiana,Washington,82
Louisiana,Webster,11
Louisiana,West Baton Rouge,2
Louisiana,West Feliciana,2
Louisiana,Winn,9
Maine,Androscoggin,71
Maine,Aroostook,50
Maine,Cumberland,110
Maine,Franklin,30
Maine,Hancock,67
Maine,Kennebec,60
Maine,Knox,138
Maine,Lincoln,4
Maine,Oxford,28
Maine,Penobscot,87
Maine,Piscataquis,13
Maine,Sagadahoc,23
Maine,Somerset,17
Maine,Waldo,26
Maine,Washington,13
Maine,York,113
Maryland,Allegany,170
Maryland,Anne Arundel,20
Maryland,Baltimore,129
Maryland,Caroline,7
Maryland,Carroll,136
Maryland,Cecil,105
Maryland,Charles,31
Maryland,Dorchester,9
Maryland,Frederick,104
Maryland,Garrett,202
Maryland,Harford,73
Maryland,Howard,43
Maryland,Kent,5
Maryland,Montgomery,41
Maryland,Prince Georges,62
Maryland,Queen Annes,12
Maryland,St Marys,39
Maryland,Talbot,4
Maryland,Washington,131
Maryland,Wicomico,9
Maryland,Worcester,7
Massachusetts,Barnstable,44
Massachusetts,Berkshire,222
Massachusetts,Bristol,87
Massachusetts,Dukes,5
Massachusetts,Essex,32
Massachusetts,Franklin,30
Massachusetts,Hampden,65
Massachusetts,Hampshire,41
Massachusetts,Middlesex,145
Massachusetts,Norfolk,72
Massachusetts,Plymouth,77
Massachusetts,Suffolk,12
Massachusetts,Worcester,173
Michigan,Alger,2
Michigan,Allegan,67
Michigan,Alpena,165
Michigan,Antrim,5
Michigan,Arenac,2
Michigan,Baraga,7
Michigan,Barry,14
Michigan,Benzie,4
Michigan,Berrien,16
Michigan,Branch,10
Michigan,Calhoun,17
Michigan,Cass,21
Michigan,Charlevoix,122
Michigan,Cheboygan,7
Michigan,Chippewa,52
Michigan,Clare,18
Michigan,Clinton,28
Michigan,Crawford,2
Michigan,Delta,15
Michigan,Dickinson,6
Michigan,Eaton,29
Michigan,Emmet,18
Michigan,Genesee,5
Michigan,Gladwin,4
Michigan,Gogebic,6
Michigan,Grand Traverse,21
Michigan,Gratiot,7
Michigan,Hillsdale,31
Michigan,Houghton,11
Michigan,Huron,25
Michigan,Ingham,6
Michigan,Ionia,20
Michigan,Iosco,32
Michigan,Iron,1
Michigan,Isabella,17
Michigan,Jackson,72
Michigan,Kalamazoo,60
Michigan,Kalkaska,7
Michigan,Kent,48
Michigan,Keweenaw,1
Michigan,Lapeer,58
Michigan,Leelanau,14
Michigan,Lenawee,14
Michigan,Livingston,31
Michigan,Mackinac,62
Michigan,Macomb,7
Michigan,Manistee,1
Michigan,Marquette,1076
Michigan,Mason,6
Michigan,Mecosta,9
Michigan,Menominee,8
Michigan,Missaukee,8
Michigan,Monroe,94
Michigan,Montcalm,24
Michigan,Montmorency,6
Michigan,Muskegon,24
Michigan,Newaygo,4
Michigan,Oakland,90
Michigan,Oceana,4
Michigan,Ogemaw,24
Michigan,Ontonagon,2
Michigan,Osceola,3
Michigan,Ottawa,18
Michigan,Presque Isle,166
Michigan,Roscommon,57
Michigan,Saginaw,2
Michigan,Sanilac,17
Michigan,Schoolcraft,98
Michigan,Shiawassee,26
Michigan,St Clair,3
Michigan,St Joseph,4
Michigan,Tuscola,16
Michigan,Washtenaw,45
Michigan,Wayne,127
Michigan,Wexford,2
Minnesota,Aitkin,5
Minnesota,Becker,51
Minnesota,Beltrami,60
Minnesota,Benton,56
Minnesota,Big Stone,23
Minnesota,Blue Earth,68
Minnesota,Brown,14
Minnesota,Carlton,7
Minnesota,Carver,30
Minnesota,Cass,6
Minnesota,Chippewa,11
Minnesota,Chisago,15
Minnesota,Clay,57
Minnesota,Clearwater,0
Minnesota,Cook,7
Minnesota,Cottonwood,6
Minnesota,Crow Wing,26
Minnesota,Dakota,113
Minnesota,Dodge,1
Minnesota,Douglas,59
Minnesota,Fillmore,3
Minnesota,Freeborn,9
Minnesota,Goodhue,7
Minnesota,Grant,1
Minnesota,Hennepin,90
Minnesota,Houston,14
Minnesota,Hubbard,13
Minnesota,Isanti,2
Minnesota,Itasca,175
Minnesota,Jackson,1
Minnesota,Kanabec,14
Minnesota,Kandiyohi,47
Minnesota,Kittson,1
Minnesota,Koochiching,2
Minnesota,Lac qui Parle,6
Minnesota,Lake,263
Minnesota,Lake of the Woods,14
Minnesota,Le Sueur,108
Minnesota,Lincoln,7
Minnesota,Lyon,14
